,PIN,Sex.x,Region,Year,Major,Grade,IndGrd2,Academic.Interest.1,Academic.Interest.2,SAT,HSG
223,N309113401283,M,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",84.37,84.67,"Philosophy, Politics and Economics",NA,NA,NA
224,N310113421283,F,Singapore,ay1516,ANTHROPOLOGY,80.01,77.0875,Global Affairs,"Philosophy, Politics and Economics",NA,NA
225,N311113418283,F,East Asia,ay1516,GLOBAL AFFAIRS,83.25,76.66,"Philosophy, Politics and Economics",NA,800,NA
226,N313113413283,M,North America,ay1516,ARTS AND HUMANITIES,81.25,82.765,Literature,NA,NA,NA
227,N314113412283,F,South Asia,ay1516,ECONOMICS,90.1,91.845,"Mathematical, Computational and Statistical Sciences",NA,800,NA
228,N315113410283,F,South Asia,ay1516,ENVIRONMENTAL STUDIES,77.41,78.645,"Philosophy, Politics and Economics",NA,780,NA
229,N365113414288,M,Singapore,ay1516,HISTORY,83.75,81.325,Literature,Arts & Humanities,NA,NA
230,N366113413288,M,Singapore,ay1516,ARTS AND HUMANITIES,78.5,75.6175,Arts & Humanities,Psychology,NA,NA
231,N367113412288,F,Europe,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.92,90.0125,Global Affairs,Psychology,740,NA
232,N368113410288,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.45,88.015,Psychology,Anthropology,760,NA
233,N369113408288,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.45,91.3775,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA
234,N371113423288,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",83.54,81.9025,Global Affairs,"Philosophy, Politics and Economics",NA,NA
235,N372113421288,F,Singapore,ay1516,LIFE SCIENCES,79.89,81.7375,Life Sciences,Undecided,NA,NA
236,N373113418288,F,East Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",82.22,81.19,"Philosophy, Politics and Economics",Global Affairs,750,NA
237,N374113414288,M,Singapore,ay1516,GLOBAL AFFAIRS,87.89,91.93,Arts & Humanities,Literature,NA,NA
238,N375113413288,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,79.03,79.6475,Global Affairs,Anthropology,NA,NA
239,N376113412288,M,Singapore,ay1516,URBAN STUDIES,88.76,90.4975,"Philosophy, Politics and Economics",NA,NA,NA
240,N377113410288,F,Singapore,ay1516,ANTHROPOLOGY,82.9,83.6175,Undecided,Life Sciences,740,NA
241,N378113408288,F,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.41,66.425,Economics,NA,780,NA
242,N379113405288,F,Singapore,ay1516,PHYSICAL SCIENCES,80.35,75.3625,Physical Sciences,NA,NA,NA
243,N380113423288,M,Singapore,ay1516,DDP LAW,87.44,93.495,Philosophy,"Philosophy, Politics and Economics",NA,NA
244,N381113421288,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,77.2,76.7675,Environmental Studies,Psychology,NA,NA
245,N382113418288,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",80.95,82.68,Global Affairs,"Philosophy, Politics and Economics",NA,NA
246,N318113401292,M,Southeast Asia,ay1516,LITERATURE,85.19,85.8525,Literature,"Philosophy, Politics and Economics",NA,A
247,N359114412201,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.89,86.01,Environmental Studies,NA,NA,NA
248,N360114402201,F,Singapore,ay1516,ARTS AND HUMANITIES,77.26,74.4625,Psychology,Life Sciences,NA,NA
249,N361114425201,M,East Asia,ay1516,PHYSICAL SCIENCES,88.76,89.095,Environmental Studies,NA,NA,NA
250,N362114424201,F,Singapore,ay1516,PHYSICAL SCIENCES,76.24,75.1325,Global Affairs,Environmental Studies,NA,NA
251,N363114423201,F,Singapore,ay1516,DDP LAW,78.42,76.98,Undecided,Undecided,NA,NA
252,N364114421201,F,Singapore,ay1516,ARTS AND HUMANITIES,74.76,65.3375,Psychology,NA,NA,NA
253,N365114418201,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",91.05,92.315,Life Sciences,Physical Sciences,760,NA
254,N366114414201,M,Singapore,ay1516,ANTHROPOLOGY,69.4,58.7,Arts & Humanities,Psychology,NA,NA
255,N367114413201,M,Singapore,ay1516,URBAN STUDIES,87.4,89.275,Global Affairs,Arts & Humanities,NA,NA
256,N368114412201,M,Other,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",67.16,71.2675,Economics,Global Affairs,NA,NA
257,N369114410201,M,Singapore,ay1516,PHILOSOPHY,85.01,89.4425,"Philosophy, Politics and Economics",Global Affairs,NA,NA
258,N370114425201,M,Singapore,ay1516,PSYCHOLOGY,87.72,92.555,Psychology,Arts & Humanities,690,NA
259,N371114424201,F,Singapore,ay1516,PHYSICAL SCIENCES,70.32,57.8775,Global Affairs,Literature,NA,NA
260,N372114423201,F,East Asia,ay1516,URBAN STUDIES,86.6,88.3325,Undecided,NA,800,NA
261,N373114421201,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.83,92.02,"Mathematical, Computational and Statistical Sciences",NA,NA,NA
262,N374114418201,F,East Asia,ay1516,ARTS AND HUMANITIES,77.92,72.81,Arts & Humanities,Global Affairs,NA,NA
263,N360114425211,F,Singapore,ay1516,URBAN STUDIES,79.14,77.0375,"Philosophy, Politics and Economics",Literature,NA,NA
264,N361114424211,F,South Asia,ay1516,HISTORY,67.85,59.98,Global Affairs,"Philosophy, Politics and Economics",NA,A
265,N362114423211,F,Singapore,ay1516,ECONOMICS,81.52,79.73,Life Sciences,Psychology,NA,NA
266,N363114421211,F,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",78.23,76.3075,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
267,N364114418211,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,86.41,90.5475,Environmental Studies,Urban Studies,NA,NA
268,N365114414211,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,84.97,86.4175,Physical Sciences,Philosophy,NA,NA
269,N366114413211,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.69,87.9375,Psychology,Environmental Studies,NA,NA
270,N367114412211,F,Southeast Asia,ay1516,ANTHROPOLOGY,79.95,80.0925,"Philosophy, Politics and Economics",Undecided,NA,NA
271,N368114410211,F,Singapore,ay1516,DDP LAW,83.62,80.69,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
272,N369114408211,F,Singapore,ay1516,DDP LAW,79.64,75.4975,Psychology,"Philosophy, Politics and Economics",NA,NA
273,N370114424211,M,Singapore,ay1516,ARTS AND HUMANITIES,83.9,90.1675,Literature,NA,NA,NA
274,N371114423211,F,Singapore,ay1516,PSYCHOLOGY,88.22,93.995,Psychology,Undecided,NA,NA
275,N364114410233,F,Singapore,ay1516,ANTHROPOLOGY,80.62,81.9225,Arts & Humanities,Life Sciences,NA,NA
276,N384114405233,F,Singapore,ay1516,URBAN STUDIES,88.47,88.0225,"Philosophy, Politics and Economics",Urban Studies,NA,NA
277,N362114412234,F,Singapore,ay1516,PSYCHOLOGY,81.12,81.705,"Philosophy, Politics and Economics",Psychology,NA,NA
278,N302114402241,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,79.98,87.0175,Philosophy,Undecided,NA,NA
279,N336114408244,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.5,81.82,"Mathematical, Computational and Statistical Sciences",NA,760,NA
280,N337114405244,F,East Asia,ay1516,ARTS AND HUMANITIES,84.72,84.7725,Urban Studies,Arts & Humanities,NA,NA
281,N339114402244,M,Southeast Asia,ay1516,LIFE SCIENCES,85.32,85.925,Life Sciences,NA,NA,NA
282,N340114418244,M,Singapore,ay1516,LIFE SCIENCES,83.13,84.195,Arts & Humanities,Literature,NA,NA
283,N341114414244,F,Singapore,ay1516,LITERATURE,83.98,84.1825,Life Sciences,"Philosophy, Politics and Economics",NA,NA
284,N342114413244,F,Southeast Asia,ay1516,URBAN STUDIES,81.97,76.8925,Global Affairs,"Philosophy, Politics and Economics",630,NA
285,N343114412244,M,East Asia,ay1516,ECONOMICS,78.94,82.3075,"Mathematical, Computational and Statistical Sciences",Environmental Studies,790,NA
286,N344114410244,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.04,87.8925,Global Affairs,Psychology,NA,NA
287,N345114408244,M,North America,ay1516,GLOBAL AFFAIRS,77.05,77.3125,Psychology,NA,720,NA
288,N346114405244,F,Singapore,ay1516,LITERATURE,79.34,76.005,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA
289,N348114402244,F,South Asia,ay1516,ANTHROPOLOGY,72.52,66.2775,Life Sciences,Global Affairs,NA,NA
290,N350114414244,F,East Asia,ay1516,ARTS AND HUMANITIES,72.47,68.1025,Anthropology,NA,700,NA
291,N351114413244,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",91.02,95.82,Economics,NA,790,NA
292,N352114412244,F,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",83.26,81.5575,Anthropology,Global Affairs,730,NA
293,N353114410244,M,Singapore,ay1516,PHILOSOPHY,87.14,91.63,Physical Sciences,Life Sciences,NA,NA
294,N354114408244,F,Singapore,ay1516,ECONOMICS,80.75,74.19,Economics,Arts & Humanities,780,NA
295,N355114405244,F,Singapore,ay1516,URBAN STUDIES,83.43,89.6075,Urban Studies,Environmental Studies,740,NA
296,N357114402244,M,Singapore,ay1516,PSYCHOLOGY,83.63,85.365,Economics,Global Affairs,NA,NA
297,N358114425244,F,East Asia,ay1516,ECONOMICS,75.72,68.2225,"Philosophy, Politics and Economics",NA,710,NA
298,N359114424244,M,Singapore,ay1516,GLOBAL AFFAIRS,79.01,73.6525,Arts & Humanities,Literature,NA,NA
299,N360114413244,F,North America,ay1516,GLOBAL AFFAIRS,81.09,79.2625,Arts & Humanities,NA,730,NA
300,N361114412244,F,Singapore,ay1516,LITERATURE,67.41,64.4625,Literature,Economics,NA,NA
301,N362114410244,M,East Asia,ay1516,LIFE SCIENCES,80.99,84.2925,Life Sciences,Economics,760,NA
302,N363114408244,F,Southeast Asia,ay1516,ENVIRONMENTAL STUDIES,82.82,82.085,Environmental Studies,History,NA,A
303,N366114402244,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.91,89.2,Economics,NA,NA,NA
304,N367114425244,F,North America,ay1516,ENVIRONMENTAL STUDIES,78.51,80.465,Environmental Studies,NA,760,NA
305,N368114424244,F,Singapore,ay1516,GLOBAL AFFAIRS,77,70.435,"Philosophy, Politics and Economics",Global Affairs,730,NA
306,N369114423244,F,Singapore,ay1516,ANTHROPOLOGY,79.19,71.4725,"Philosophy, Politics and Economics",Economics,NA,NA
307,N338114423248,F,East Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",76.98,79.865,Global Affairs,Economics,780,NA
308,N339114421248,M,South Asia,ay1516,URBAN STUDIES,87.63,93.3375,Economics,Psychology,800,NA
309,N340114410248,F,North America,ay1516,GLOBAL AFFAIRS,85.96,88.4125,Undecided,NA,760,NA
310,N341114408248,F,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.42,94.3,Anthropology,NA,800,NA
311,N342114405248,F,Southeast Asia,ay1516,ARTS AND HUMANITIES,83.18,84.89,Literature,Arts & Humanities,NA,NA
312,N343114401248,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.75,86.0125,"Mathematical, Computational and Statistical Sciences",NA,800,NA
313,N344114402248,F,Other,ay1516,ANTHROPOLOGY,86.23,89.055,Economics,Global Affairs,NA,NA
314,N345114425248,F,East Asia,ay1516,PHYSICAL SCIENCES,79.89,83.2925,Physical Sciences,NA,NA,NA
315,N347114423248,M,South Asia,ay1516,PHYSICAL SCIENCES,88.23,91.495,Physical Sciences,NA,780,NA
316,N348114421248,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.15,85.2525,Economics,NA,NA,NA
317,N349114418248,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",89.48,95.28,"Mathematical, Computational and Statistical Sciences",NA,800,NA
318,N351114405248,F,South Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",75.36,78.3125,Economics,NA,740,NA
319,N352114401248,F,Europe,ay1516,ARTS AND HUMANITIES,87.46,86.9,Undecided,NA,800,NA
320,N353114402248,M,North America,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",88.18,87.3525,Global Affairs,NA,NA,NA
321,N354114425248,F,Other,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.37,85.6,"Mathematical, Computational and Statistical Sciences",NA,670,NA
322,N355114424248,M,East Asia,ay1516,ECONOMICS,85.11,92.3325,"Mathematical, Computational and Statistical Sciences",NA,800,NA
323,N357114421248,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.98,89.43,Global Affairs,Environmental Studies,770,NA
324,N358114418248,F,Singapore,ay1516,HISTORY,81.44,83.6725,Undecided,NA,760,NA
325,N359114414248,F,Europe,ay1516,PSYCHOLOGY,84.88,84.82,Psychology,History,800,NA
326,N360114405248,F,North America,ay1516,ECONOMICS,89.84,93.0375,Economics,NA,800,NA
327,N361114401248,F,Other,ay1516,ECONOMICS,81.63,86.1,Economics,Global Affairs,800,NA
328,N338114405261,F,Singapore,ay1516,PSYCHOLOGY,83.98,85.775,Psychology,Life Sciences,NA,NA
329,N339114401261,F,Singapore,ay1516,URBAN STUDIES,86.45,90.8175,Global Affairs,Urban Studies,NA,NA
330,N340114421261,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",89.7,95.0875,Life Sciences,History,NA,NA
331,N397114413265,M,Singapore,ay1516,GLOBAL AFFAIRS,81.75,78.865,Global Affairs,Undecided,NA,NA
332,N398114412265,M,Singapore,ay1516,URBAN STUDIES,88.59,92.415,Urban Studies,Undecided,780,NA
333,N329114423266,F,Singapore,ay1516,LITERATURE,90.03,91.78,Literature,Arts & Humanities,800,NA
334,N377114424280,F,Singapore,ay1516,GLOBAL AFFAIRS,74.31,63.71,Literature,Arts & Humanities,NA,NA
335,N356110408273,M,Singapore,ay1617,PHYSICAL SCIENCES,84.34063838,85.384011815,Physical Sciences,Environmental Studies,NA,NA
336,N338113408261,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.48380718,78.58297823,Psychology,Global Affairs,790,NA
337,N351113418261,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.44270296,92.3976214775,Anthropology,"Mathematical, Computational and Statistical Sciences",800,NA
338,N363114412242,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.88000282,82.57761576,Global Affairs,Literature,NA,B
339,N337115408224,M,South Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.56328025,92.1262446425,Economics,"Mathematical, Computational and Statistical Sciences",790,NA
340,N338115405224,F,Singapore,ay1617,GLOBAL AFFAIRS,77.88751253,73.58814887,"Philosophy, Politics and Economics",Global Affairs,780,NA
341,N339115401224,F,Other,ay1617,PSYCHOLOGY,80.83984747,80.91335899,Arts & Humanities,Life Sciences,760,NA
342,N340115421224,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",78.47027464,77.9256952675,"Philosophy, Politics and Economics",NA,NA,NA
343,N341115418224,F,Singapore,ay1617,PSYCHOLOGY,76.02095394,78.221878685,Psychology,Life Sciences,NA,A
344,N342115414224,F,North America,ay1617,ANTHROPOLOGY,78.68105304,73.5961048975,"Philosophy, Politics and Economics",Arts & Humanities,680,NA
345,N343115413224,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",65.92017383,53.735396655,Literature,Physical Sciences,790,NA
346,N344115412224,M,South Asia,ay1617,PSYCHOLOGY,81.6591999,84.2697333075,Physical Sciences,"Philosophy, Politics and Economics",780,NA
347,N345115410224,F,East Asia,ay1617,GLOBAL AFFAIRS,59.99127997,55.39342041,Literature,"Philosophy, Politics and Economics",760,NA
348,N346115408224,F,Singapore,ay1617,URBAN STUDIES,72.42940789,74.646244605,Global Affairs,Anthropology,NA,NA
349,N347115405224,M,South Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.12747663,79.377173845,Arts & Humanities,Environmental Studies,740,NA
350,N348115401224,M,Southeast Asia,ay1617,ENVIRONMENTAL STUDIES,80.1543892,76.114549295,Economics,Physical Sciences,730,NA
351,N349115402224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.73711374,71.5396453975,Economics,Literature,750,NA
352,N350115418224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",82.91867898,79.03114604,"Philosophy, Politics and Economics",Economics,720,NA
353,N352115413224,F,East Asia,ay1617,PSYCHOLOGY,79.91585298,84.145070845,Global Affairs,Psychology,800,NA
354,N353115412224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.86040047,86.50156788,"Philosophy, Politics and Economics",Arts & Humanities,800,NA
355,N354115410224,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,78.11759837,76.434595345,"Philosophy, Politics and Economics",Economics,NA,NA
356,N355115408224,F,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.58200982,88.802810395,"Mathematical, Computational and Statistical Sciences",Philosophy,780,NA
357,N356115405224,M,South Asia,ay1617,LIFE SCIENCES,85.12083833,88.0706992075,Physical Sciences,NA,770,NA
358,N357115401224,F,Singapore,ay1617,PSYCHOLOGY,76.26625713,66.7920271275,Life Sciences,Economics,720,NA
359,N359115425224,F,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.83545456,79.4132403825,"Philosophy, Politics and Economics",Economics,800,NA
360,N360115414224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.91862726,81.4030396325,"Philosophy, Politics and Economics",Economics,790,NA
361,N361115413224,M,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.09049647,72.0077253925,Economics,NA,780,NA
362,N362115412224,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.72885028,81.5525637475,Anthropology,Psychology,NA,NA
363,N364115408224,M,Southeast Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.65557973,87.2301369875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",800,NA
364,N365115405224,F,East Asia,ay1617,ECONOMICS,81.40253823,83.7095182275,Economics,Global Affairs,760,NA
365,N366115401224,F,Other,ay1617,ARTS AND HUMANITIES,79.34766152,78.6617566475,Arts & Humanities,NA,800,NA
366,N367115402224,F,East Asia,ay1617,LITERATURE,81.0858184,79.8257054875,"Philosophy, Politics and Economics",Global Affairs,790,NA
367,N368115425224,M,Europe,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",81.58099586,80.92051645,Global Affairs,Economics,710,NA
368,N369115424224,F,Other,ay1617,PHYSICAL SCIENCES,80.44593499,80.73480261,Physical Sciences,Environmental Studies,760,NA
369,N370115413224,M,Europe,ay1617,ECONOMICS,80.93010891,83.1957455875,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800,NA
370,N371115412224,M,East Asia,ay1617,NA,80.21925112,81.7111736075,Undecided,"Philosophy, Politics and Economics",800,NA
371,N372115410224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.47715547,83.017746265,"Mathematical, Computational and Statistical Sciences",Psychology,780,NA
372,N373115408224,F,Singapore,ay1617,PHYSICAL SCIENCES,83.75950511,87.122708065,Physical Sciences,Arts & Humanities,760,NA
373,N374115405224,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",82.26726906,79.0997968625,Undecided,Undecided,720,NA
374,N375115401224,M,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.97417511,78.001027915,Physical Sciences,Global Affairs,800,NA
375,N376115402224,M,Other,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.08676836,77.6601410075,Anthropology,Urban Studies,800,NA
376,N377115425224,M,Europe,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.6862312,88.2674855275,Physical Sciences,Global Affairs,800,NA
377,N378115424224,F,East Asia,ay1617,GLOBAL AFFAIRS,76.39187584,70.262658725,Global Affairs,"Philosophy, Politics and Economics",800,NA
378,N380115412224,M,Singapore,ay1617,ARTS AND HUMANITIES,75.53344807,72.05992339,Psychology,Arts & Humanities,NA,NA
379,N381115410224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.7783664,69.4254793875,Economics,Arts & Humanities,730,A
380,N382115408224,F,Singapore,ay1617,HISTORY,81.23406531,78.0543211325,History,Physical Sciences,NA,NA
381,N383115405224,F,East Asia,ay1617,PSYCHOLOGY,68.52964797,60.51079277,Global Affairs,"Philosophy, Politics and Economics",730,NA
382,N384115401224,F,North America,ay1617,LITERATURE,77.96094511,72.0731723425,Global Affairs,NA,720,NA
383,N385115402224,F,Singapore,ay1617,HISTORY,70.32002667,61.160260615,Anthropology,Arts & Humanities,NA,NA
384,N388115423224,F,South Asia,ay1617,LIFE SCIENCES,83.25054617,80.2001734825,Life Sciences,"Mathematical, Computational and Statistical Sciences",800,NA
385,N389115421224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",90.27986455,91.781178225,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800,A
386,N390115410224,M,Singapore,ay1617,DDP LAW,78.96724451,79.3225361775,Philosophy,Global Affairs,NA,NA
387,N391115408224,F,Other,ay1617,ECONOMICS,75.19907508,72.5903470475,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA
388,N392115405224,F,Singapore,ay1617,URBAN STUDIES,70.95565981,69.39708779,Economics,Undecided,NA,NA
389,N393115401224,F,North America,ay1617,PHILOSOPHY,77.99402823,75.4685982375,Global Affairs,Anthropology,660,A
390,N394115402224,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,71.1899922,64.076330885,Environmental Studies,Undecided,NA,NA
391,N395115425224,M,South Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.22282196,81.373026305,"Mathematical, Computational and Statistical Sciences",Physical Sciences,770,NA
392,N396115424224,F,South Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.01531941,71.42075407,Literature,Economics,770,NA
393,N397115423224,F,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",84.57377542,84.434424845,Psychology,Life Sciences,780,NA
394,N398115421224,M,Singapore,ay1617,DDP LAW,84.45361057,85.2684145825,Arts & Humanities,History,NA,NA
395,N399115418224,F,North America,ay1617,LIFE SCIENCES,74.7848926,66.5561225,Life Sciences,Physical Sciences,760,NA
396,N300115425225,F,Other,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",69.84124881,58.14879574,"Philosophy, Politics and Economics",Arts & Humanities,670,NA
397,N301115424225,M,East Asia,ay1617,ECONOMICS,86.10986411,93.9407032575,"Mathematical, Computational and Statistical Sciences",Economics,800,B
398,N302115423225,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.97041827,77.7595749175,Global Affairs,"Philosophy, Politics and Economics",NA,NA
399,N303115421225,M,Europe,ay1617,ECONOMICS,80.9171097,81.015845275,Economics,Global Affairs,730,NA
400,N304115418225,M,Southeast Asia,ay1617,ECONOMICS,76.48666569,72.84233595,Economics,Global Affairs,NA,NA
401,N308115410225,M,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",80.52028981,81.3987463875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",780,NA
402,N310115424225,M,East Asia,ay1617,NA,73.55043013,74.8419330925,Undecided,Undecided,790,NA
403,N311115423225,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.35372401,79.3023814375,"Philosophy, Politics and Economics",Global Affairs,760,NA
404,N312115421225,F,Singapore,ay1617,ARTS AND HUMANITIES,63.70360435,61.34735742,Psychology,Literature,NA,NA
405,N313115418225,F,Southeast Asia,ay1617,ENVIRONMENTAL STUDIES,81.15502193,84.363848805,Environmental Studies,"Philosophy, Politics and Economics",740,NA
406,N314115414225,F,Other,ay1617,PSYCHOLOGY,81.84561313,79.81429269,Psychology,Urban Studies,690,NA
407,N315115413225,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.63190734,78.616726515,Economics,Undecided,NA,NA
408,N317115410225,F,Singapore,ay1617,LITERATURE,82.23225527,81.786360745,Arts & Humanities,Literature,800,NA
409,N319115405225,F,Europe,ay1617,ECONOMICS,79.60939361,80.54732844,"Mathematical, Computational and Statistical Sciences",Economics,800,A
410,N320115423225,F,East Asia,ay1617,ANTHROPOLOGY,69.72144319,65.818874095,Literature,Anthropology,780,NA
411,N322115418225,F,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.26748767,81.9115030925,NA,"Philosophy, Politics and Economics",800,A
412,N324115413225,M,Other,ay1617,LIFE SCIENCES,86.4208005,88.82455625,Life Sciences,Economics,760,NA
413,N327115408225,F,Singapore,ay1617,LIFE SCIENCES,79.07075335,78.568111505,Physical Sciences,Life Sciences,NA,NA
414,N329115401225,M,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",86.27727797,89.5004768325,"Philosophy, Politics and Economics",Philosophy,780,NA
415,N330115421225,F,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.78836832,68.1070206375,Physical Sciences,Physical Sciences,790,NA
416,N332115414225,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",87.53028966,88.1298858675,Literature,Life Sciences,800,NA
417,N334115412225,F,North America,ay1617,ANTHROPOLOGY,71.92370452,62.50703145,Arts & Humanities,Arts & Humanities,650,NA
418,N335115410225,M,North America,ay1617,PHILOSOPHY,79.07629444,77.71177048,"Philosophy, Politics and Economics",Philosophy,780,NA
419,N337115405225,F,Other,ay1617,ANTHROPOLOGY,73.86967465,64.33069586,Global Affairs,Anthropology,670,NA
420,N338115401225,F,Europe,ay1617,ANTHROPOLOGY,76.55802636,80.4356900425,History,NA,710,NA
421,N339115402225,F,South Asia,ay1617,ECONOMICS,75.33595263,74.1421132225,Life Sciences,Physical Sciences,770,NA
422,N340115418225,F,Singapore,ay1617,GLOBAL AFFAIRS,81.85983303,78.1919424175,Global Affairs,Urban Studies,750,NA
423,N341115414225,M,Singapore,ay1617,ECONOMICS,77.35840321,73.076173505,"Philosophy, Politics and Economics",Philosophy,NA,NA
424,N342115413225,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",72.78094443,59.8769501975,Global Affairs,"Philosophy, Politics and Economics",NA,NA
425,N344115410225,F,Other,ay1617,GLOBAL AFFAIRS,84.82024872,82.359078095,Environmental Studies,Global Affairs,760,NA
