QR2
,PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,SATnew
677,N380119425208,2018,M,Economics,"Philosophy, Politics and Economics",NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
34,N301116405220,2016,F,Economics,Environmental Studies,NA,610,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
553,N316119402208,2018,F,Life Sciences,Physical Sciences,NA,610,NA,26,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
537,N368119413208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,640,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
60,N353115410225,2016,F,"Mathematical, Computational and Statistical Sciences",Global Affairs,NA,660,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
87,N393115401224,2016,F,Global Affairs,Anthropology,NA,660,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
612,N310119412209,2018,F,Global Affairs,History,NA,660,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
180,N342115414224,2016,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
290,N323117418204,2017,M,Physical Sciences,Philosophy,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
410,N367117401203,2017,F,Undecided,Physical Sciences,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
412,N328116413296,2017,M,Anthropology,Arts & Humanities,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
535,N337119423208,2018,M,Philosophy,Global Affairs,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,762.279411764706
597,N343119402208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
671,N346119421209,2018,M,Arts & Humanities,Literature,NA,680,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
3,N336115408225,2016,M,Economics,Philosophy,NA,780,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
119,N343115412225,2016,F,Life Sciences,Global Affairs,760,760,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
307,N333117414204,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,700,NA,30,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,762.279411764706
451,N361119425209,2018,M,Economics,"Philosophy, Politics and Economics",NA,700,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,762.279411764706
456,N330119408209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,700,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
497,N359119413208,2018,M,Life Sciences,Arts & Humanities,NA,700,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,762.279411764706
598,N357119418208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,700,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
676,N347119418209,2018,M,Urban Studies,History,NA,700,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
507,N345119423209,2018,M,Physical Sciences,Undecided,NA,710,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
524,N376119414208,2018,F,Global Affairs,Anthropology,NA,710,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
566,N300119413209,2018,M,Economics,"Philosophy, Politics and Economics",NA,710,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
14,N350115418224,2016,F,"Philosophy, Politics and Economics",Economics,NA,720,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
173,N374115405224,2016,F,Undecided,Undecided,NA,720,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
252,N378116402288,2017,M,History,"Philosophy, Politics and Economics",NA,720,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
310,N336117410204,2017,F,Global Affairs,Urban Studies,NA,720,NA,32,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
606,N340119405209,2018,M,Economics,Undecided,NA,720,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
148,N313115418225,2016,F,Environmental Studies,"Philosophy, Politics and Economics",NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
214,N322116425296,2017,F,Economics,Environmental Studies,NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
320,N321116401295,2017,M,Economics,Environmental Studies,NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
374,N319116413296,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
423,N303117425220,2017,F,History,Life Sciences,NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
437,N334117408243,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,740,NA,33,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
462,N327119423209,2018,F,Life Sciences,NA,NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
650,N365119418209,2018,F,Arts & Humanities,Urban Studies,NA,740,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
210,N309117410204,2017,M,Life Sciences,Physical Sciences,NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,762.279411764706
344,N355117410203,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
388,N345117412203,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,740,740,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
401,N339117401204,2017,F,"Philosophy, Politics and Economics",Economics,NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
402,N340117423203,2017,F,"Philosophy, Politics and Economics",Urban Studies,NA,760,NA,34,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
472,N389119410207,2018,M,Economics,Literature,NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,762.279411764706
542,N349119414208,2018,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
627,N319119423208,2018,F,Life Sciences,Physical Sciences,NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
644,N367119414208,2018,M,Urban Studies,Economics,NA,760,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
53,N329115401225,2016,M,"Philosophy, Politics and Economics",Philosophy,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
116,N339115402225,2016,F,Life Sciences,Physical Sciences,770,770,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
143,N355115405225,2016,M,Environmental Studies,Economics,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
158,N339115401224,2016,F,Arts & Humanities,Life Sciences,760,760,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
204,N386117402203,2017,M,Environmental Studies,Physical Sciences,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
208,N324117405245,2017,M,"Philosophy, Politics and Economics",Anthropology,NA,780,NA,35,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,762.279411764706
227,N360117418203,2017,M,"Philosophy, Politics and Economics",Economics,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
315,N355117401215,2017,M,Arts & Humanities,Environmental Studies,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
345,N350117421203,2017,F,"Philosophy, Politics and Economics",Psychology,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
380,N359117402203,2017,F,Environmental Studies,Physical Sciences,NA,780,NA,35,NA,NA,NA,NA,NA,NA,6,NA,5,NA,NA,NA,762.279411764706
393,N397117424203,2017,F,Undecided,Economics,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
453,N313119408208,2018,F,Economics,Undecided,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
455,N314119405208,2018,F,"Mathematical, Computational and Statistical Sciences",Philosophy,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
457,N381119423209,2018,F,Global Affairs,Physical Sciences,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,762.279411764706
471,N355119423208,2018,F,"Philosophy, Politics and Economics",Economics,NA,780,NA,35,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
474,N356119418209,2018,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,762.279411764706
505,N327119424208,2018,F,Urban Studies,"Philosophy, Politics and Economics",NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
602,N397119412207,2018,F,Life Sciences,Physical Sciences,NA,780,NA,35,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,762.279411764706
665,N331119405209,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,780,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
58,N317115410225,2016,F,Arts & Humanities,Literature,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
126,N319115405225,2016,F,"Mathematical, Computational and Statistical Sciences",Economics,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
136,N372115410224,2016,M,"Mathematical, Computational and Statistical Sciences",Psychology,780,780,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
207,N343117414203,2017,M,Economics,"Philosophy, Politics and Economics",NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,762.279411764706
224,N344117413203,2017,M,Psychology,"Mathematical, Computational and Statistical Sciences",NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,762.279411764706
267,N345117410204,2017,M,Environmental Studies,Economics,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
276,N358117401203,2017,M,"Philosophy, Politics and Economics",Economics,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,762.279411764706
323,N339117405203,2017,F,Global Affairs,Life Sciences,750,750,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,770
332,N308117412204,2017,M,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
341,N324117414204,2017,F,Psychology,Physical Sciences,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
376,N329117405204,2017,F,History,Psychology,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
384,N305117418204,2017,F,Psychology,Global Affairs,NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
387,N378117421215,2017,M,Environmental Studies,Arts & Humanities,NA,800,NA,36,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
621,N369119412208,2018,F,Environmental Studies,"Philosophy, Politics and Economics",NA,800,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
1,N385115424262,2016,F,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
2,N344115410225,2016,F,Environmental Studies,Global Affairs,730,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
4,N304116413208,2016,F,Literature,Environmental Studies,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
5,N361115413224,2016,M,Economics,NA,760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
6,N302115423225,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
7,N340115418225,2016,F,Global Affairs,Urban Studies,720,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
8,N304115418225,2016,M,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
9,N376115424262,2016,M,History,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
10,N354115408225,2016,F,Global Affairs,"Philosophy, Politics and Economics",660,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,690
11,N356115401225,2016,M,Physical Sciences,Anthropology,720,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
12,N307116408208,2016,F,Global Affairs,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
13,N396116421207,2016,M,Arts & Humanities,"Philosophy, Politics and Economics",760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
15,N391116401207,2016,F,Arts & Humanities,Literature,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
16,N324116421212,2016,F,Life Sciences,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
17,N365115402262,2016,F,Arts & Humanities,Economics,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
18,N347115405224,2016,M,Arts & Humanities,Environmental Studies,710,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740
19,N314115414225,2016,F,Psychology,Urban Studies,660,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690
20,N308115410225,2016,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",770,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
21,N351115412262,2016,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
22,N363115405262,2016,F,Psychology,Anthropology,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
23,N367115402224,2016,F,"Philosophy, Politics and Economics",Global Affairs,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
24,N380115412224,2016,M,Psychology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
25,N345115410224,2016,F,Literature,"Philosophy, Politics and Economics",730,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
26,N345115408225,2016,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
27,N356115405224,2016,M,Physical Sciences,NA,750,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770
28,N346115401262,2016,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
29,N352115410262,2016,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
30,N362115412224,2016,M,Anthropology,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
31,N371115412224,2016,M,Undecided,"Philosophy, Politics and Economics",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
32,N348115425262,2016,M,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
33,N341115418224,2016,F,Psychology,Life Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
35,N397116418207,2016,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
36,N310115424225,2016,M,Undecided,Undecided,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
37,N322115418225,2016,F,NA,"Philosophy, Politics and Economics",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,800
38,N365115405224,2016,F,Economics,Global Affairs,740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
39,N357115425262,2016,F,Global Affairs,Urban Studies,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
40,N338115401225,2016,F,History,NA,680,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710
41,N383115405224,2016,F,Global Affairs,"Philosophy, Politics and Economics",700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730
42,N337116405215,2016,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
43,N306116410208,2016,F,Literature,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
44,N330115421225,2016,F,Physical Sciences,Physical Sciences,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
45,N338115405224,2016,F,"Philosophy, Politics and Economics",Global Affairs,760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
46,N347115402262,2016,F,Philosophy,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
47,N344115408262,2016,F,Urban Studies,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
48,N342115412262,2016,M,"Mathematical, Computational and Statistical Sciences",Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
49,N370115413224,2016,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
50,N375115425262,2016,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
51,N399116413207,2016,F,Global Affairs,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
52,N371115408262,2016,M,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
54,N359115423262,2016,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
55,N397115423224,2016,F,Psychology,Life Sciences,760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
56,N374115402262,2016,F,Urban Studies,Life Sciences,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
57,N337116402217,2016,F,Philosophy,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
59,N378115421262,2016,F,Economics,Arts & Humanities,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
61,N324115413225,2016,M,Life Sciences,Economics,740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
62,N325116418212,2016,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
63,N363114412242,2016,F,Global Affairs,Literature,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
64,N354115405262,2016,M,Psychology,Physical Sciences,NA,NA,NA,NA,NA,NA,B,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
65,N372115405262,2016,F,NA,Arts & Humanities,790,800,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,800
66,N389115421224,2016,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,800
67,N358115424262,2016,M,Economics,Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
68,N366115401224,2016,F,Arts & Humanities,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
69,N383115402262,2016,M,Economics,Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
70,N303116414208,2016,F,Arts & Humanities,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
71,N330116424222,2016,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
72,N339116402215,2016,F,Arts & Humanities,Physical Sciences,NA,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
73,N389115414262,2016,M,Physical Sciences,Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
74,N318115402282,2016,F,Global Affairs,History,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
75,N356115402262,2016,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
76,N377115423262,2016,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
77,N364115408224,2016,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
78,N312116414208,2016,M,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
79,N399115418224,2016,F,Life Sciences,Physical Sciences,740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
80,N395115425224,2016,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,750,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770
81,N361115410262,2016,M,Psychology,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
82,N390115410224,2016,M,Philosophy,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
83,N388115423224,2016,F,Life Sciences,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
84,N381115405262,2016,F,"Mathematical, Computational and Statistical Sciences",Global Affairs,800,800,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
85,N333115408255,2016,M,Global Affairs,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
86,N384115401224,2016,F,Global Affairs,NA,690,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
88,N398115421224,2016,M,Arts & Humanities,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
89,N300116408220,2016,F,Global Affairs,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
90,N346115408224,2016,F,Global Affairs,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
91,N305115413244,2016,M,Global Affairs,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
92,N355115401262,2016,M,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
93,N309116401208,2016,M,Environmental Studies,"Philosophy, Politics and Economics",750,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770
94,N343115413224,2016,F,Literature,Physical Sciences,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
