,PIN,Sex,Region,Year,Major,Grade,IndGrd2,AC1,AC2,SATimp,HSG_imp
213,N308113405283,F,Singapore,ay1516,ECONOMICS,85.26,1.0,Economics,Arts & Humanities,700.0,1.0
214,N309113401283,M,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",84.37,1.0,"Philosophy, Politics and Economics",Undeclared,770.0,1.0
215,N310113421283,F,Singapore,ay1516,ANTHROPOLOGY,80.01,0.0,Global Affairs,"Philosophy, Politics and Economics",753.0,1.0
216,N311113418283,F,East Asia,ay1516,GLOBAL AFFAIRS,83.25,0.0,"Philosophy, Politics and Economics",Undeclared,800.0,1.0
217,N313113413283,M,North America,ay1516,ARTS AND HUMANITIES,81.25,1.0,Literature,Undeclared,766.0,1.0
218,N314113412283,F,South Asia,ay1516,ECONOMICS,90.1,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,800.0,1.0
219,N315113410283,F,South Asia,ay1516,ENVIRONMENTAL STUDIES,77.41,0.0,"Philosophy, Politics and Economics",Undeclared,780.0,1.0
220,N365113414288,M,Singapore,ay1516,HISTORY,83.75,1.0,Literature,Arts & Humanities,763.0,1.0
221,N366113413288,M,Singapore,ay1516,ARTS AND HUMANITIES,78.5,0.0,Arts & Humanities,Psychology,750.0,1.0
222,N367113412288,F,Europe,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.92,1.0,Global Affairs,Psychology,740.0,1.0
223,N368113410288,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.45,1.0,Psychology,Anthropology,760.0,1.0
224,N369113408288,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.45,1.0,Psychology,"Mathematical, Computational and Statistical Sciences",786.0,1.0
225,N371113423288,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",83.54,1.0,Global Affairs,"Philosophy, Politics and Economics",764.0,1.0
226,N372113421288,F,Singapore,ay1516,LIFE SCIENCES,79.89,1.0,Life Sciences,Undecided,764.0,1.0
227,N373113418288,F,East Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",82.22,1.0,"Philosophy, Politics and Economics",Global Affairs,750.0,1.0
228,N374113414288,M,Singapore,ay1516,GLOBAL AFFAIRS,87.89,1.0,Arts & Humanities,Literature,787.0,1.0
229,N375113413288,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,79.03,1.0,Global Affairs,Anthropology,759.0,1.0
230,N376113412288,M,Singapore,ay1516,URBAN STUDIES,88.76,1.0,"Philosophy, Politics and Economics",Undeclared,784.0,1.0
231,N377113410288,F,Singapore,ay1516,ANTHROPOLOGY,82.9,1.0,Undecided,Life Sciences,740.0,1.0
232,N378113408288,F,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.41,0.0,Economics,Undeclared,780.0,2.0
233,N379113405288,F,Singapore,ay1516,PHYSICAL SCIENCES,80.35,0.0,Physical Sciences,Undeclared,749.0,1.0
234,N380113423288,M,Singapore,ay1516,DDP LAW,87.44,1.0,Philosophy,"Philosophy, Politics and Economics",790.0,1.0
235,N381113421288,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,77.2,0.0,Environmental Studies,Psychology,752.0,1.0
236,N382113418288,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",80.95,1.0,Global Affairs,"Philosophy, Politics and Economics",766.0,1.0
237,N318113401292,M,Southeast Asia,ay1516,LITERATURE,85.19,1.0,Literature,"Philosophy, Politics and Economics",773.0,1.0
238,N359114412201,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.89,1.0,Environmental Studies,Undeclared,773.0,1.0
239,N360114402201,F,Singapore,ay1516,ARTS AND HUMANITIES,77.26,0.0,Psychology,Life Sciences,747.0,1.0
240,N361114425201,M,East Asia,ay1516,PHYSICAL SCIENCES,88.76,1.0,Environmental Studies,Undeclared,780.0,1.0
241,N362114424201,F,Singapore,ay1516,PHYSICAL SCIENCES,76.24,0.0,Global Affairs,Environmental Studies,748.0,1.0
242,N363114423201,F,Singapore,ay1516,DDP LAW,78.42,0.0,Undecided,Undecided,753.0,1.0
243,N364114421201,F,Singapore,ay1516,ARTS AND HUMANITIES,74.76,0.0,Psychology,Undeclared,726.0,2.0
244,N365114418201,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",91.05,1.0,Life Sciences,Physical Sciences,760.0,1.0
245,N366114414201,M,Singapore,ay1516,ANTHROPOLOGY,69.4,0.0,Arts & Humanities,Psychology,711.0,2.0
246,N367114413201,M,Singapore,ay1516,URBAN STUDIES,87.4,1.0,Global Affairs,Arts & Humanities,781.0,1.0
247,N368114412201,M,Other,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",67.16,0.0,Economics,Global Affairs,740.0,2.0
248,N369114410201,M,Singapore,ay1516,PHILOSOPHY,85.01,1.0,"Philosophy, Politics and Economics",Global Affairs,781.0,1.0
249,N370114425201,M,Singapore,ay1516,PSYCHOLOGY,87.72,1.0,Psychology,Arts & Humanities,690.0,1.0
250,N371114424201,F,Singapore,ay1516,PHYSICAL SCIENCES,70.32,0.0,Global Affairs,Literature,709.0,2.0
251,N372114423201,F,East Asia,ay1516,URBAN STUDIES,86.6,1.0,Undecided,Undeclared,800.0,1.0
252,N373114421201,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.83,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,787.0,1.0
253,N374114418201,F,East Asia,ay1516,ARTS AND HUMANITIES,77.92,0.0,Arts & Humanities,Global Affairs,743.0,2.0
254,N360114425211,F,Singapore,ay1516,URBAN STUDIES,79.14,0.0,"Philosophy, Politics and Economics",Literature,753.0,1.0
255,N361114424211,F,South Asia,ay1516,HISTORY,67.85,0.0,Global Affairs,"Philosophy, Politics and Economics",714.0,1.0
256,N362114423211,F,Singapore,ay1516,ECONOMICS,81.52,1.0,Life Sciences,Psychology,759.0,1.0
257,N363114421211,F,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",78.23,0.0,"Philosophy, Politics and Economics",Arts & Humanities,751.0,1.0
258,N364114418211,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,86.41,1.0,Environmental Studies,Urban Studies,784.0,1.0
259,N365114414211,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,84.97,1.0,Physical Sciences,Philosophy,774.0,1.0
260,N366114413211,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.69,1.0,Psychology,Environmental Studies,778.0,1.0
261,N367114412211,F,Southeast Asia,ay1516,ANTHROPOLOGY,79.95,1.0,"Philosophy, Politics and Economics",Undecided,760.0,1.0
262,N368114410211,F,Singapore,ay1516,DDP LAW,83.62,1.0,"Philosophy, Politics and Economics",Arts & Humanities,761.0,1.0
263,N369114408211,F,Singapore,ay1516,DDP LAW,79.64,0.0,Psychology,"Philosophy, Politics and Economics",749.0,1.0
264,N370114424211,M,Singapore,ay1516,ARTS AND HUMANITIES,83.9,1.0,Literature,Undeclared,783.0,1.0
265,N371114423211,F,Singapore,ay1516,PSYCHOLOGY,88.22,1.0,Psychology,Undecided,792.0,1.0
266,N364114410233,F,Singapore,ay1516,ANTHROPOLOGY,80.62,1.0,Arts & Humanities,Life Sciences,764.0,1.0
267,N384114405233,F,Singapore,ay1516,URBAN STUDIES,88.47,1.0,"Philosophy, Politics and Economics",Urban Studies,778.0,1.0
268,N362114412234,F,Singapore,ay1516,PSYCHOLOGY,81.12,1.0,"Philosophy, Politics and Economics",Psychology,763.0,1.0
269,N302114402241,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,79.98,1.0,Philosophy,Undecided,776.0,1.0
270,N336114408244,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.5,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,760.0,1.0
271,N337114405244,F,East Asia,ay1516,ARTS AND HUMANITIES,84.72,1.0,Urban Studies,Arts & Humanities,771.0,1.0
272,N339114402244,M,Southeast Asia,ay1516,LIFE SCIENCES,85.32,1.0,Life Sciences,Undeclared,773.0,1.0
273,N340114418244,M,Singapore,ay1516,LIFE SCIENCES,83.13,1.0,Arts & Humanities,Literature,769.0,1.0
274,N341114414244,F,Singapore,ay1516,LITERATURE,83.98,1.0,Life Sciences,"Philosophy, Politics and Economics",769.0,1.0
275,N342114413244,F,Southeast Asia,ay1516,URBAN STUDIES,81.97,0.0,Global Affairs,"Philosophy, Politics and Economics",630.0,1.0
276,N343114412244,M,East Asia,ay1516,ECONOMICS,78.94,1.0,"Mathematical, Computational and Statistical Sciences",Environmental Studies,790.0,1.0
277,N344114410244,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.04,1.0,Global Affairs,Psychology,778.0,1.0
278,N345114408244,M,North America,ay1516,GLOBAL AFFAIRS,77.05,0.0,Psychology,Undeclared,720.0,1.0
279,N346114405244,F,Singapore,ay1516,LITERATURE,79.34,0.0,Arts & Humanities,"Philosophy, Politics and Economics",750.0,1.0
280,N348114402244,F,South Asia,ay1516,ANTHROPOLOGY,72.52,0.0,Life Sciences,Global Affairs,728.0,2.0
281,N350114414244,F,East Asia,ay1516,ARTS AND HUMANITIES,72.47,0.0,Anthropology,Undeclared,700.0,2.0
282,N351114413244,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",91.02,1.0,Economics,Undeclared,790.0,1.0
283,N352114412244,F,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",83.26,1.0,Anthropology,Global Affairs,730.0,1.0
284,N353114410244,M,Singapore,ay1516,PHILOSOPHY,87.14,1.0,Physical Sciences,Life Sciences,786.0,1.0
285,N354114408244,F,Singapore,ay1516,ECONOMICS,80.75,0.0,Economics,Arts & Humanities,780.0,1.0
286,N355114405244,F,Singapore,ay1516,URBAN STUDIES,83.43,1.0,Urban Studies,Environmental Studies,740.0,1.0
287,N357114402244,M,Singapore,ay1516,PSYCHOLOGY,83.63,1.0,Economics,Global Affairs,772.0,1.0
288,N358114425244,F,East Asia,ay1516,ECONOMICS,75.72,0.0,"Philosophy, Politics and Economics",Undeclared,710.0,2.0
289,N359114424244,M,Singapore,ay1516,GLOBAL AFFAIRS,79.01,0.0,Arts & Humanities,Literature,745.0,2.0
290,N360114413244,F,North America,ay1516,GLOBAL AFFAIRS,81.09,1.0,Arts & Humanities,Undeclared,730.0,1.0
291,N361114412244,F,Singapore,ay1516,LITERATURE,67.41,0.0,Literature,Economics,724.0,2.0
292,N362114410244,M,East Asia,ay1516,LIFE SCIENCES,80.99,1.0,Life Sciences,Economics,760.0,1.0
293,N363114408244,F,Southeast Asia,ay1516,ENVIRONMENTAL STUDIES,82.82,1.0,Environmental Studies,History,764.0,1.0
294,N366114402244,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.91,1.0,Economics,Undeclared,781.0,1.0
295,N367114425244,F,North America,ay1516,ENVIRONMENTAL STUDIES,78.51,1.0,Environmental Studies,Undeclared,760.0,1.0
296,N368114424244,F,Singapore,ay1516,GLOBAL AFFAIRS,77.0,0.0,"Philosophy, Politics and Economics",Global Affairs,730.0,2.0
297,N369114423244,F,Singapore,ay1516,ANTHROPOLOGY,79.19,0.0,"Philosophy, Politics and Economics",Economics,740.0,2.0
298,N338114423248,F,East Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",76.98,1.0,Global Affairs,Economics,780.0,1.0
299,N339114421248,M,South Asia,ay1516,URBAN STUDIES,87.63,1.0,Economics,Psychology,800.0,1.0
300,N340114410248,F,North America,ay1516,GLOBAL AFFAIRS,85.96,1.0,Undecided,Undeclared,760.0,1.0
301,N341114408248,F,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.42,1.0,Anthropology,Undeclared,800.0,1.0
302,N342114405248,F,Southeast Asia,ay1516,ARTS AND HUMANITIES,83.18,1.0,Literature,Arts & Humanities,771.0,1.0
303,N343114401248,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.75,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,800.0,1.0
304,N344114402248,F,Other,ay1516,ANTHROPOLOGY,86.23,1.0,Economics,Global Affairs,780.0,1.0
305,N345114425248,F,East Asia,ay1516,PHYSICAL SCIENCES,79.89,1.0,Physical Sciences,Undeclared,767.0,1.0
306,N347114423248,M,South Asia,ay1516,PHYSICAL SCIENCES,88.23,1.0,Physical Sciences,Undeclared,780.0,1.0
307,N348114421248,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.15,1.0,Economics,Undeclared,772.0,1.0
308,N349114418248,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",89.48,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,800.0,1.0
309,N351114405248,F,South Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",75.36,0.0,Economics,Undeclared,740.0,1.0
310,N352114401248,F,Europe,ay1516,ARTS AND HUMANITIES,87.46,1.0,Undecided,Undeclared,800.0,1.0
311,N353114402248,M,North America,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",88.18,1.0,Global Affairs,Undeclared,776.0,1.0
312,N354114425248,F,Other,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.37,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,670.0,1.0
313,N355114424248,M,East Asia,ay1516,ECONOMICS,85.11,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,800.0,1.0
314,N357114421248,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.98,1.0,Global Affairs,Environmental Studies,770.0,1.0
315,N358114418248,F,Singapore,ay1516,HISTORY,81.44,1.0,Undecided,Undeclared,760.0,1.0
316,N359114414248,F,Europe,ay1516,PSYCHOLOGY,84.88,1.0,Psychology,History,800.0,1.0
317,N360114405248,F,North America,ay1516,ECONOMICS,89.84,1.0,Economics,Undeclared,800.0,1.0
318,N361114401248,F,Other,ay1516,ECONOMICS,81.63,1.0,Economics,Global Affairs,800.0,1.0
319,N338114405261,F,Singapore,ay1516,PSYCHOLOGY,83.98,1.0,Psychology,Life Sciences,773.0,1.0
320,N339114401261,F,Singapore,ay1516,URBAN STUDIES,86.45,1.0,Global Affairs,Urban Studies,784.0,1.0
321,N340114421261,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",89.7,1.0,Life Sciences,History,794.0,1.0
322,N397114413265,M,Singapore,ay1516,GLOBAL AFFAIRS,81.75,0.0,Global Affairs,Undecided,757.0,1.0
323,N398114412265,M,Singapore,ay1516,URBAN STUDIES,88.59,1.0,Urban Studies,Undecided,780.0,1.0
324,N329114423266,F,Singapore,ay1516,LITERATURE,90.03,1.0,Literature,Arts & Humanities,800.0,1.0
325,N377114424280,F,Singapore,ay1516,GLOBAL AFFAIRS,74.31,0.0,Literature,Arts & Humanities,722.0,2.0
326,N356110408273,M,Singapore,ay1617,PHYSICAL SCIENCES,84.34063838,1.0,Physical Sciences,Environmental Studies,772.0,1.0
327,N338113408261,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.48380718,0.0,Psychology,Global Affairs,790.0,1.0
328,N351113418261,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.44270296,1.0,Anthropology,"Mathematical, Computational and Statistical Sciences",800.0,1.0
329,N363114412242,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.88000282,1.0,Global Affairs,Literature,765.0,2.0
330,N337115408224,M,South Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.56328025,1.0,Economics,"Mathematical, Computational and Statistical Sciences",790.0,1.0
331,N338115405224,F,Singapore,ay1617,GLOBAL AFFAIRS,77.88751253,0.0,"Philosophy, Politics and Economics",Global Affairs,780.0,2.0
332,N339115401224,F,Other,ay1617,PSYCHOLOGY,80.83984747,1.0,Arts & Humanities,Life Sciences,760.0,1.0
333,N340115421224,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",78.47027464,0.0,"Philosophy, Politics and Economics",Undeclared,755.0,1.0
334,N341115418224,F,Singapore,ay1617,PSYCHOLOGY,76.02095394,0.0,Psychology,Life Sciences,756.0,1.0
335,N342115414224,F,North America,ay1617,ANTHROPOLOGY,78.68105304,0.0,"Philosophy, Politics and Economics",Arts & Humanities,680.0,2.0
336,N343115413224,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",65.92017383,0.0,Literature,Physical Sciences,790.0,2.0
337,N344115412224,M,South Asia,ay1617,PSYCHOLOGY,81.6591999,1.0,Physical Sciences,"Philosophy, Politics and Economics",780.0,1.0
338,N345115410224,F,East Asia,ay1617,GLOBAL AFFAIRS,59.99127997,0.0,Literature,"Philosophy, Politics and Economics",760.0,2.0
339,N346115408224,F,Singapore,ay1617,URBAN STUDIES,72.42940789,0.0,Global Affairs,Anthropology,747.0,1.0
340,N347115405224,M,South Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.12747663,1.0,Arts & Humanities,Environmental Studies,740.0,1.0
341,N348115401224,M,Southeast Asia,ay1617,ENVIRONMENTAL STUDIES,80.1543892,0.0,Economics,Physical Sciences,730.0,1.0
342,N349115402224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.73711374,0.0,Economics,Literature,750.0,2.0
343,N350115418224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",82.91867898,1.0,"Philosophy, Politics and Economics",Economics,720.0,1.0
344,N352115413224,F,East Asia,ay1617,PSYCHOLOGY,79.91585298,1.0,Global Affairs,Psychology,800.0,1.0
345,N353115412224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.86040047,1.0,"Philosophy, Politics and Economics",Arts & Humanities,800.0,1.0
346,N354115410224,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,78.11759837,0.0,"Philosophy, Politics and Economics",Economics,751.0,1.0
347,N355115408224,F,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.58200982,1.0,"Mathematical, Computational and Statistical Sciences",Philosophy,780.0,1.0
348,N356115405224,M,South Asia,ay1617,LIFE SCIENCES,85.12083833,1.0,Physical Sciences,Undeclared,770.0,1.0
349,N357115401224,F,Singapore,ay1617,PSYCHOLOGY,76.26625713,0.0,Life Sciences,Economics,720.0,2.0
350,N359115425224,F,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.83545456,1.0,"Philosophy, Politics and Economics",Economics,800.0,1.0
351,N360115414224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.91862726,1.0,"Philosophy, Politics and Economics",Economics,790.0,1.0
352,N361115413224,M,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.09049647,0.0,Economics,Undeclared,780.0,2.0
353,N362115412224,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.72885028,1.0,Anthropology,Psychology,763.0,1.0
354,N364115408224,M,Southeast Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.65557973,1.0,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",800.0,1.0
355,N365115405224,F,East Asia,ay1617,ECONOMICS,81.40253823,1.0,Economics,Global Affairs,760.0,1.0
356,N366115401224,F,Other,ay1617,ARTS AND HUMANITIES,79.34766152,0.0,Arts & Humanities,Undeclared,800.0,1.0
357,N367115402224,F,East Asia,ay1617,LITERATURE,81.0858184,1.0,"Philosophy, Politics and Economics",Global Affairs,790.0,1.0
358,N368115425224,M,Europe,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",81.58099586,1.0,Global Affairs,Economics,710.0,1.0
359,N369115424224,F,Other,ay1617,PHYSICAL SCIENCES,80.44593499,1.0,Physical Sciences,Environmental Studies,760.0,1.0
360,N370115413224,M,Europe,ay1617,ECONOMICS,80.93010891,1.0,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800.0,1.0
361,N371115412224,M,East Asia,ay1617,Undeclared,80.21925112,1.0,Undecided,"Philosophy, Politics and Economics",800.0,1.0
362,N372115410224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.47715547,1.0,"Mathematical, Computational and Statistical Sciences",Psychology,780.0,1.0
363,N373115408224,F,Singapore,ay1617,PHYSICAL SCIENCES,83.75950511,1.0,Physical Sciences,Arts & Humanities,760.0,1.0
364,N374115405224,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",82.26726906,1.0,Undecided,Undecided,720.0,1.0
365,N375115401224,M,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.97417511,0.0,Physical Sciences,Global Affairs,800.0,1.0
366,N376115402224,M,Other,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.08676836,0.0,Anthropology,Urban Studies,800.0,1.0
367,N377115425224,M,Europe,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.6862312,1.0,Physical Sciences,Global Affairs,800.0,1.0
368,N378115424224,F,East Asia,ay1617,GLOBAL AFFAIRS,76.39187584,0.0,Global Affairs,"Philosophy, Politics and Economics",800.0,2.0
369,N380115412224,M,Singapore,ay1617,ARTS AND HUMANITIES,75.53344807,0.0,Psychology,Arts & Humanities,741.0,2.0
370,N381115410224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.7783664,0.0,Economics,Arts & Humanities,730.0,1.0
371,N382115408224,F,Singapore,ay1617,HISTORY,81.23406531,0.0,History,Physical Sciences,755.0,1.0
372,N383115405224,F,East Asia,ay1617,PSYCHOLOGY,68.52964797,0.0,Global Affairs,"Philosophy, Politics and Economics",730.0,2.0
373,N384115401224,F,North America,ay1617,LITERATURE,77.96094511,0.0,Global Affairs,Undeclared,720.0,2.0
374,N385115402224,F,Singapore,ay1617,HISTORY,70.32002667,0.0,Anthropology,Arts & Humanities,716.0,2.0
375,N388115423224,F,South Asia,ay1617,LIFE SCIENCES,83.25054617,1.0,Life Sciences,"Mathematical, Computational and Statistical Sciences",800.0,1.0
376,N389115421224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",90.27986455,1.0,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800.0,1.0
377,N390115410224,M,Singapore,ay1617,DDP LAW,78.96724451,1.0,Philosophy,Global Affairs,758.0,1.0
378,N391115408224,F,Other,ay1617,ECONOMICS,75.19907508,0.0,Economics,"Mathematical, Computational and Statistical Sciences",743.0,2.0
379,N392115405224,F,Singapore,ay1617,URBAN STUDIES,70.95565981,0.0,Economics,Undecided,735.0,2.0
380,N393115401224,F,North America,ay1617,PHILOSOPHY,77.99402823,0.0,Global Affairs,Anthropology,660.0,1.0
381,N394115402224,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,71.1899922,0.0,Environmental Studies,Undecided,723.0,2.0
382,N395115425224,M,South Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.22282196,1.0,"Mathematical, Computational and Statistical Sciences",Physical Sciences,770.0,1.0
383,N396115424224,F,South Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.01531941,0.0,Literature,Economics,770.0,2.0
384,N397115423224,F,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",84.57377542,1.0,Psychology,Life Sciences,780.0,1.0
385,N398115421224,M,Singapore,ay1617,DDP LAW,84.45361057,1.0,Arts & Humanities,History,772.0,1.0
386,N399115418224,F,North America,ay1617,LIFE SCIENCES,74.7848926,0.0,Life Sciences,Physical Sciences,760.0,2.0
387,N300115425225,F,Other,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",69.84124881,0.0,"Philosophy, Politics and Economics",Arts & Humanities,670.0,2.0
388,N301115424225,M,East Asia,ay1617,ECONOMICS,86.10986411,1.0,"Mathematical, Computational and Statistical Sciences",Economics,800.0,2.0
389,N302115423225,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.97041827,0.0,Global Affairs,"Philosophy, Politics and Economics",754.0,1.0
390,N303115421225,M,Europe,ay1617,ECONOMICS,80.9171097,1.0,Economics,Global Affairs,730.0,1.0
391,N304115418225,M,Southeast Asia,ay1617,ECONOMICS,76.48666569,0.0,Economics,Global Affairs,743.0,2.0
392,N308115410225,M,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",80.52028981,1.0,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",780.0,1.0
393,N310115424225,M,East Asia,ay1617,Undeclared,73.55043013,0.0,Undecided,Undecided,790.0,1.0
394,N311115423225,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.35372401,1.0,"Philosophy, Politics and Economics",Global Affairs,760.0,1.0
395,N312115421225,F,Singapore,ay1617,ARTS AND HUMANITIES,63.70360435,0.0,Psychology,Literature,717.0,2.0
396,N313115418225,F,Southeast Asia,ay1617,ENVIRONMENTAL STUDIES,81.15502193,1.0,Environmental Studies,"Philosophy, Politics and Economics",740.0,1.0
397,N314115414225,F,Other,ay1617,PSYCHOLOGY,81.84561313,1.0,Psychology,Urban Studies,690.0,1.0
398,N315115413225,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.63190734,0.0,Economics,Undecided,756.0,1.0
399,N317115410225,F,Singapore,ay1617,LITERATURE,82.23225527,1.0,Arts & Humanities,Literature,800.0,1.0
400,N319115405225,F,Europe,ay1617,ECONOMICS,79.60939361,1.0,"Mathematical, Computational and Statistical Sciences",Economics,800.0,1.0
401,N320115423225,F,East Asia,ay1617,ANTHROPOLOGY,69.72144319,0.0,Literature,Anthropology,780.0,2.0
402,N322115418225,F,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.26748767,1.0,Undeclared,"Philosophy, Politics and Economics",800.0,1.0
403,N324115413225,M,Other,ay1617,LIFE SCIENCES,86.4208005,1.0,Life Sciences,Economics,760.0,1.0
404,N327115408225,F,Singapore,ay1617,LIFE SCIENCES,79.07075335,0.0,Physical Sciences,Life Sciences,756.0,1.0
405,N329115401225,M,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",86.27727797,1.0,"Philosophy, Politics and Economics",Philosophy,780.0,1.0
406,N330115421225,F,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.78836832,0.0,Physical Sciences,Physical Sciences,790.0,2.0
407,N332115414225,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",87.53028966,1.0,Literature,Life Sciences,800.0,1.0
408,N334115412225,F,North America,ay1617,ANTHROPOLOGY,71.92370452,0.0,Arts & Humanities,Arts & Humanities,650.0,2.0
409,N335115410225,M,North America,ay1617,PHILOSOPHY,79.07629444,0.0,"Philosophy, Politics and Economics",Philosophy,780.0,1.0
410,N337115405225,F,Other,ay1617,ANTHROPOLOGY,73.86967465,0.0,Global Affairs,Anthropology,670.0,2.0
