PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.COMPUTER.SCIENCE.COMPUTING.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Math.Stats.HL.Score,IB.Further.mathematics.SL.Score,IB.Computer.Sc..SL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,AP.Computer.Science..AB..Score
N393116425207,2016,M,Arts & Humanities,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N395116423207,2016,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354115410224,2016,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350115413262,2016,M,Literature,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343115410262,2016,F,Economics,Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N382115408224,2016,F,History,Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N379115418262,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N364115401262,2016,M,Environmental Studies,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348115401224,2016,M,Economics,Physical Sciences,700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344115412224,2016,M,Physical Sciences,"Philosophy, Politics and Economics",760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N309115413240,2016,F,Anthropology,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N374115405224,2016,F,Undecided,Undecided,NA,NA,NA,32,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N305116412208,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351113418261,2016,M,Anthropology,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332115414225,2016,F,Literature,Life Sciences,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325115412225,2016,M,Psychology,,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N313116413208,2016,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335115410225,2016,M,"Philosophy, Politics and Economics",Philosophy,770,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N342115414224,2016,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N369115424224,2016,F,Physical Sciences,Environmental Studies,740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N312115425240,2016,M,Environmental Studies,Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338113408261,2016,F,Psychology,Global Affairs,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N342115413225,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N392115405224,2016,F,Economics,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N360115412262,2016,F,Economics,Global Affairs,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352115413224,2016,F,Global Affairs,Psychology,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N385115402224,2016,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310116421208,2016,F,Anthropology,Literature,740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350115414225,2016,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N347115401225,2016,M,Psychology,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N359115425224,2016,F,"Philosophy, Politics and Economics",Economics,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339115425262,2016,M,Economics,"Philosophy, Politics and Economics",690,720,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N391115408224,2016,F,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341116414215,2016,F,Psychology,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349115425225,2016,F,Life Sciences,"Philosophy, Politics and Economics",700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338116401215,2016,F,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349115402224,2016,F,Economics,Literature,720,750,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356110408273,2016,M,Physical Sciences,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N334115412225,2016,F,Arts & Humanities,Arts & Humanities,630,650,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301116421208,2016,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N362115408262,2016,M,Literature,Undecided,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345115405262,2016,F,Urban Studies,Environmental Studies,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N386117402203,2017,M,Environmental Studies,Physical Sciences,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N393117425215,2017,F,Literature,Arts & Humanities,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372117405215,2017,M,Global Affairs,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343117414203,2017,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
N324117405245,2017,M,"Philosophy, Politics and Economics",Anthropology,NA,NA,NA,35,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301116405296,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N309117410204,2017,M,Life Sciences,Physical Sciences,NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
N318117410204,2017,F,Life Sciences,Psychology,NA,NA,790,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349117424215,2017,F,Global Affairs,Economics,670,700,780,35,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322117421204,2017,F,"Mathematical, Computational and Statistical Sciences",Economics,NA,NA,750,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322116425296,2017,F,Economics,Environmental Studies,NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N398117418214,2017,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376117401203,2017,F,Life Sciences,Environmental Studies,620,640,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338117408203,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327116414296,2017,F,Global Affairs,Psychology,NA,NA,NA,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301115412200,2017,F,Urban Studies,Physical Sciences,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349117401203,2017,F,Life Sciences,Psychology,660,690,NA,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N307116421296,2017,F,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348117425215,2017,F,"Philosophy, Politics and Economics",Anthropology,NA,NA,710,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N307117410215,2017,M,Literature,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344117413203,2017,M,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
N385117401203,2017,F,Economics,"Philosophy, Politics and Economics",720,750,NA,NA,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397116401295,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N360117418203,2017,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N361117410215,2017,M,Arts & Humanities,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349111425274,2017,M,Physical Sciences,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
N358117424215,2017,M,Physical Sciences,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341117408209,2017,F,Life Sciences,Literature,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N314117410271,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N364117401215,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343117401209,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335117405243,2017,F,Anthropology,Life Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310117425204,2017,F,Physical Sciences,,760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N357117405203,2017,F,Life Sciences,Life Sciences,NA,NA,720,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N363117412203,2017,M,Anthropology,Philosophy,NA,NA,620,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N353117408215,2017,F,Literature,Anthropology,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N379117418215,2017,F,Global Affairs,Economics,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N384117425215,2017,M,Arts & Humanities,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327116418295,2017,F,Undecided,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327117410204,2017,F,"Mathematical, Computational and Statistical Sciences",Economics,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335115424200,2017,F,Psychology,Global Affairs,780,790,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N389117423203,2017,F,"Mathematical, Computational and Statistical Sciences",Life Sciences,750,770,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N309116414296,2017,M,Global Affairs,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N329116413295,2017,F,Life Sciences,Life Sciences,800,800,760,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N334117413204,2017,F,Psychology,"Philosophy, Politics and Economics",NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325117413204,2017,M,Physical Sciences,Arts & Humanities,NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N395117424214,2017,F,Arts & Humanities,Physical Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337117408204,2017,M,"Philosophy, Politics and Economics",Urban Studies,730,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378116402288,2017,M,History,"Philosophy, Politics and Economics",NA,NA,NA,32,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324116424295,2017,M,Psychology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352117410215,2017,F,Environmental Studies,Urban Studies,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N315116423296,2017,F,Urban Studies,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N388117424203,2017,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
N323116425295,2017,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N368117423215,2017,M,Economics,Global Affairs,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320117424204,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,670,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303116402296,2017,M,Undecided,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338116402207,2017,F,Psychology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335117412204,2017,F,Life Sciences,Economics,NA,NA,710,NA,,,,,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
N306117412215,2017,F,Arts & Humanities,Global Affairs,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N346117401215,2017,M,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N347117402215,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N367117424215,2017,F,Arts & Humanities,Global Affairs,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345117410204,2017,M,Environmental Studies,Economics,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N374117402215,2017,F,Literature,Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333117405227,2017,F,Psychology,Life Sciences,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N342117418203,2017,M,Physical Sciences,Economics,NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N317116424248,2017,M,Psychology,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N315117414204,2017,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N398116402295,2017,F,Arts & Humanities,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399117414214,2017,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N398114424299,2017,F,Urban Studies,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N358117401203,2017,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
N388117418215,2017,F,Urban Studies,Environmental Studies,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N329116412296,2017,F,Anthropology,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321116402296,2017,M,Physical Sciences,Physical Sciences,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319117408204,2017,M,Global Affairs,Economics,650,670,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N326116418296,2017,F,Psychology,Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N366117425215,2017,M,Psychology,Anthropology,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341117418204,2017,F,Life Sciences,Psychology,660,690,NA,NA,,,,,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N371117408215,2017,M,Arts & Humanities,"Philosophy, Politics and Economics",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340116425296,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300116408296,2017,F,Arts & Humanities,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N328117424245,2017,M,Arts & Humanities,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325116421296,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343112414217,2017,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N323117418204,2017,M,Physical Sciences,Philosophy,NA,NA,NA,29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335116418296,2017,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345117425209,2017,M,Psychology,Physical Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N305117413215,2017,F,Philosophy,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350117413215,2017,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N306117414204,2017,M,Global Affairs,Arts & Humanities,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N390117412203,2017,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,790,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA
N337117410203,2017,M,Economics,Psychology,690,720,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N326117412204,2017,M,"Philosophy, Politics and Economics",Economics,680,710,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N362117408215,2017,F,Urban Studies,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N323117408245,2017,M,Economics,,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300117402204,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,650,NA,,,,,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N393117405203,2017,F,Anthropology,Arts & Humanities,NA,NA,740,NA,,,,,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
N342117414204,2017,F,Life Sciences,Philosophy,NA,NA,650,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N377117423215,2017,M,Philosophy,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333116413206,2017,M,Economics,Environmental Studies,NA,NA,750,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N359117423215,2017,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333117414204,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,30,,,,,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351117412215,2017,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N393117421263,2017,F,"Philosophy, Politics and Economics",History,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N336117410204,2017,F,Global Affairs,Urban Studies,NA,NA,NA,32,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381117405215,2017,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N371117413203,2017,F,Psychology,Arts & Humanities,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339116410296,2017,F,Philosophy,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340117421222,2017,F,Urban Studies,Psychology,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N355117401215,2017,M,Arts & Humanities,Environmental Studies,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301117423215,2017,F,History,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354117405215,2017,F,Literature,Undecided,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340117410209,2017,M,Global Affairs,Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N383117402215,2017,F,Psychology,Anthropology,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321116401295,2017,M,Economics,Environmental Studies,NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N365117408203,2017,M,Economics,,780,790,NA,NA,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N366117405203,2017,M,History,Global Affairs,NA,NA,650,NA,,,,,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339117405203,2017,F,Global Affairs,Life Sciences,750,770,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
N374117408203,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,600,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N370117410215,2017,M,Anthropology,Global Affairs,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327117401243,2017,F,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N336116414296,2017,M,,Environmental Studies,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
