PIN,Sex,Region,Year,Major,Grade,Exam1,Exam2,TRAT,Instructor,Writing,IRAT,Present,Report,Peer,Reading,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
N341114414244,F,Singapore,ay1516,LITERATURE,83.98,90.5,84,89.79583333,69.43333333,96.21,74.98,86.66666667,79.42857143,83.26530613,NA,83.33,40,100,66.67,60,80,100,83,60,EX,75,40,40,66.67,66.67,83.33,83.33,100,60,100,100,80,87.5,100,85,100,100,100,85,100,100,100,100,100,100,91.66666667,100,100,85,100
N342114413244,F,Southeast Asia,ay1516,URBAN STUDIES,81.97,71,85.5,95.52083333,73.80434783,91.54,72.82,86.66666667,85.38571429,81.69014087,NA,50,80,50,33.33,60,40,40,17,40,25,25,20,40,EX,50,66.67,50,20,80,80,100,90,81.25,91.67,80,90,90,83,65,100,81.25,100,65,90,100,91.66666667,100,100,70,100
N343114412244,M,East Asia,ay1516,ECONOMICS,78.94,83,85.5,90.57916667,78.57142857,63.71,76.48,80,74.28571429,75.32467533,NA,100,80,100,66.67,80,40,100,50,20,100,75,60,40,100,83.33,100,66.67,60,80,100,100,100,81.25,100,85,90,100,92,80,100,87.5,100,90,100,100,91.66666667,91.66666667,100,100,100
N344114410244,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.04,87,95.5,92.04166667,79.04166667,85.48,77.82,73.33333333,83.21428571,81.55844153,NA,83.33,80,25,33.33,20,80,80,33,40,0,50,60,0,50,66.67,66.67,0,20,20,0,100,100,87.5,100,80,100,100,100,100,100,87.5,100,80,90,100,83.33333333,100,100,100,100
N345114408244,M,North America,ay1516,GLOBAL AFFAIRS,77.05,85,74.5,89.79583333,70.73333333,67.65,70,86.66666667,79.42857143,73.51351353,NA,83.33,20,50,83.33,60,80,80,83,40,75,75,60,60,83.33,83.33,100,83.33,100,40,60,100,80,81.25,100,100,90,90,100,70,100,100,100,90,90,100,91.66666667,100,100,80,90
N346114405244,F,Singapore,ay1516,LITERATURE,79.34,84,68.5,89.1875,84.69565217,77.7,75.27,83.33333333,78.1,78.70977333,NA,100,80,75,100,100,100,80,83,20,100,100,100,80,83.33,100,100,50,80,100,100,100,100,100,100,85,90,90,92,55,100,100,100,100,100,100,100,100,100,80,100
N348114402244,F,South Asia,ay1516,ANTHROPOLOGY,72.52,58,71,89.43333333,78.57142857,76.73,71.61,80,75.25714286,66.75862067,NA,83.33,60,50,83.33,80,80,100,67,20,100,50,40,40,50,83.33,83.33,50,100,60,60,100,65,81.25,100,85,100,90,75,90,100,81.25,100,100,100,91.66666667,91.66666667,100,100,90,100
N350114414244,F,East Asia,ay1516,ARTS AND HUMANITIES,72.47,65.5,65.5,92.99583333,66.69565217,63.5,75.91,76.66666667,78.45714286,74.90476193,NA,0,80,75,83.33,80,100,60,33,40,100,75,60,40,66.67,66.67,100,83.33,100,80,80,100,65,81.25,100,85,100,90,75,90,100,81.25,100,100,100,91.66666667,91.66666667,100,100,90,100
N351114413244,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",91.02,100,100,92.99583333,91.69565217,88.75,83.28,76.66666667,78.45714286,91.106383,NA,100,80,50,66.67,40,60,80,67,20,100,75,80,100,83.33,66.67,EX,100,100,60,60,100,100,100,100,80,100,90,92,90,100,81.25,91.66666667,90,100,87.5,91.66666667,100,90,85,100
N352114412244,F,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",83.26,86.5,79.5,91.70833333,92.91666667,85.38,77.23,83.33333333,79.52857143,76.75675673,NA,100,40,75,100,80,60,100,67,40,75,100,60,20,100,83.33,83.33,100,80,60,80,100,70,62.5,100,90,90,100,88,40,100,100,75,80,100,100,91.66666667,100,90,90,90
N353114410244,M,Singapore,ay1516,PHILOSOPHY,87.14,100,91,89.43333333,83.57142857,84.16,80.02,80,75.25714286,88.27586207,NA,83.33,80,0,83.33,60,100,100,83,40,75,75,60,40,0,83.33,100,0,60,40,100,100,90,68.75,100,85,100,90,92,80,100,81.25,100,75,75,91.66666667,100,100,85,75,100
N354114408244,F,Singapore,ay1516,ECONOMICS,80.75,74,76.5,92.29583333,83.04166667,83.21,71.01,83.33333333,81.18571429,86.23376627,NA,100,40,75,83.33,60,80,100,67,20,50,75,60,60,83.33,83.33,83.33,100,60,80,60,100,100,87.5,100,90,100,100,100,90,100,87.5,100,90,100,83.33333333,91.66666667,100,100,100,100
N355114405244,F,Singapore,ay1516,URBAN STUDIES,83.43,96,92.5,88.44183333,78.69565217,73.57,75.68,80,65.71428571,86.2745098,NA,83.33,40,75,100,60,40,40,33,20,75,75,40,40,66.67,83.33,83.33,50,60,0,100,100,90,87.5,100,65,90,100,79,30,100,87.5,100,85,90,100,87.5,87.5,100,70,100
N357114402244,M,Singapore,ay1516,PSYCHOLOGY,83.63,75,100,91.14166667,78.57142857,88.5,78.96,80,74.28571429,81.5286624,NA,50,20,0,100,40,100,100,50,60,75,50,20,0,0,0,83.33,66.67,0,80,80,100,70,75,100,70,100,90,88,70,100,81.25,100,85,100,100,91.66666667,100,85,90,100
N358114425244,F,East Asia,ay1516,ECONOMICS,75.72,58,75.5,89.43333333,78.57142857,86.02,72.64,80,75.25714286,76.66666667,NA,100,80,75,66.67,40,80,60,67,40,100,50,80,60,83.33,83.33,83.33,83.33,100,60,100,100,100,87.5,100,80,100,100,88,80,100,81.25,100,80,80,91.66666667,87.5,100,100,90,100
N359114424244,M,Singapore,ay1516,GLOBAL AFFAIRS,79.01,79.5,68.5,87.45,90.93333333,83.97,72.61,80,73.1,80,NA,100,80,25,83.33,80,80,80,50,60,100,75,40,60,66.67,83.33,83.33,66.67,100,80,100,100,100,81.25,100,85,90,100,92,80,100,87.5,100,90,100,100,91.66666667,91.66666667,100,100,100
N360114413244,F,North America,ay1516,GLOBAL AFFAIRS,81.09,80.5,79.5,89.79583333,73.23333333,88.05,77.05,86.66666667,79.42857143,80,NA,83.33,80,50,50,60,EX,80,67,40,75,25,80,0,66.67,66.67,83.33,83.33,40,20,40,100,90,81.25,100,90,100,100,92,100,100,81.25,100,100,90,100,87.5,100,100,75,90
N361114412244,F,Singapore,ay1516,LITERATURE,67.41,48,77,92.99583333,69.69565217,69.81,70.35,76.66666667,78.45714286,44.66666667,NA,83.33,80,50,83.33,40,100,80,67,0,50,75,40,20,83.33,0,83.33,83.33,80,60,100,100,90,68.75,100,85,100,90,100,90,100,100,100,85,100,91.66666667,91.66666667,100,100,100,100
N362114410244,M,East Asia,ay1516,LIFE SCIENCES,80.99,93.5,81,94.60416667,79.04166667,58.27,75.42,76.66666667,82.52857143,80,NA,100,40,75,83.33,100,100,100,67,60,100,75,80,60,100,66.67,100,100,60,40,60,100,90,81.25,100,90,100,100,92,100,100,81.25,100,100,90,100,87.5,100,100,75,90
N363114408244,F,Southeast Asia,ay1516,ENVIRONMENTAL STUDIES,82.82,82,85.5,94.32916667,78.69565217,76.39,77.09,83.33333333,83.82857143,83.3103448,NA,100,40,50,66.67,60,80,80,50,40,100,50,100,80,83.33,83.33,100,83.33,100,60,80,100,100,100,100,100,100,90,100,75,100,81.25,100,90,90,100,91.66666667,100,100,85,100
N366114402244,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.91,92.5,93.5,94.60416667,85.04166667,74.14,77.8,76.66666667,82.52857143,78.410596,NA,83.33,80,75,83.33,40,EX,80,67,60,75,75,20,40,66.67,50,100,83.33,60,60,60,100,100,100,100,85,100,90,83,70,100,81.25,100,80,85,91.66666667,91.66666667,100,85,90,90
N367114425244,F,North America,ay1516,ENVIRONMENTAL STUDIES,78.51,74,90,91.12916667,68.80434783,71.62,75.86,83.33333333,70.04285714,80,NA,100,80,50,66.67,80,80,80,67,20,100,75,20,60,100,83.33,100,100,80,80,80,100,100,81.25,100,85,90,100,92,80,100,87.5,100,90,100,100,91.66666667,91.66666667,100,100,100
N368114424244,F,Singapore,ay1516,GLOBAL AFFAIRS,77,55,81.5,94.14583333,72.91666667,75.7,76.99,100,75.47142857,80,NA,100,80,75,66.67,80,60,100,67,40,75,75,40,EX,100,83.33,100,100,100,40,80,100,80,81.25,100,100,90,90,100,70,100,100,100,90,90,100,91.66666667,100,100,80,90
N369114423244,F,Singapore,ay1516,ANTHROPOLOGY,79.19,72,67,94.6,99.79166667,69.08,77.39,76.66666667,79.52857143,83.11688313,NA,0,100,50,66.67,60,80,40,67,40,100,75,100,80,83.33,83.33,83.33,83.33,80,60,20,100,100,100,100,85,90,90,92,55,100,100,100,100,100,100,100,100,100,80,100
N338114423248,F,East Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",76.98,80,84.5,93.85,72.91666667,69.24,72.71,90,74.85714286,62.96774193,NA,83.33,80,50,83.33,60,60,60,83,0,75,75,60,40,66.67,50,100,83.33,80,20,40,100,80,81.25,100,100,90,90,100,70,100,100,100,90,90,100,91.66666667,100,100,80,90
N339114421248,M,South Asia,ay1516,URBAN STUDIES,87.63,100,97,92.64583333,80.04166667,84.35,77.85,86.66666667,87.28571429,76.86274507,NA,100,40,50,100,40,60,100,50,20,100,75,60,80,100,50,100,83.33,100,60,80,100,80,87.5,100,90,100,100,83,65,50,81.25,100,65,90,100,100,100,90,75,100
N340114410248,F,North America,ay1516,GLOBAL AFFAIRS,85.96,93.5,90,87.45,99.43333333,81.25,78.4,80,73.1,83.11688313,NA,66.67,40,75,50,80,60,60,67,60,0,75,80,60,66.67,66.67,66.67,83.33,100,100,40,100,90,75,100,85,100,90,83,80,100,81.25,91.66666667,90,100,91.66666667,91.66666667,100,100,90,85
N341114408248,F,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.42,100,100,89.43333333,83.57142857,89.12,77.2,80,75.25714286,86.4,NA,100,80,75,83.33,60,60,80,83,20,0,50,80,80,100,66.67,66.67,83.33,60,40,40,100,85,87.5,100,75,85,90,100,85,100,81.25,100,100,100,91.66666667,91.66666667,100,100,100,100
N342114405248,F,Southeast Asia,ay1516,ARTS AND HUMANITIES,83.18,92.5,86,95.41666667,81.30434783,70.62,71.81,76.66666667,86.54285714,80,NA,66.67,40,75,83.33,40,60,80,67,0,25,50,60,0,83.33,50,50,83.33,40,0,60,100,70,62.5,100,90,90,100,88,40,100,100,75,80,100,100,91.66666667,100,90,90,90
N343114401248,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.75,87,92.5,89.1875,91.69565217,85.6,74.8,83.33333333,78.1,44.7987568,NA,83.33,80,75,83.33,60,100,80,67,60,75,75,80,100,66.67,66.67,100,66.67,80,60,100,100,75,75,100,80,100,100,100,90,87.5,87.5,100,90,100,100,87.5,91.66666667,85,85,100
N344114402248,F,Other,ay1516,ANTHROPOLOGY,86.23,93.5,94.5,95.52083333,81.30434783,88.06,74.22,86.66666667,85.38571429,74.9765258,NA,83.33,40,50,100,80,60,60,50,60,75,75,20,80,0,0,83.33,100,100,40,100,100,85,75,100,80,90,100,92,80,100,81.25,83.33333333,90,100,83.33333333,91.66666667,100,90,90,100
N345114425248,F,East Asia,ay1516,PHYSICAL SCIENCES,79.89,93.5,79.5,87.45,82.23333333,67.65,73.67,80,73.1,76.88311687,NA,83.33,60,25,66.67,80,0,100,100,40,50,75,60,EX,66.67,100,100,33.33,80,60,100,100,75,75,100,80,100,100,100,90,87.5,87.5,100,90,100,100,87.5,91.66666667,85,85,100
N347114423248,M,South Asia,ay1516,PHYSICAL SCIENCES,88.23,100,91,94.625,88.57142857,86.64,79.48,83.33333333,78.57142857,84.1438356,NA,83.33,40,50,83.33,60,80,80,83,80,100,50,60,60,66.67,83.33,100,83.33,100,60,80,100,80,87.5,100,90,100,100,83,65,50,81.25,100,65,90,100,100,100,90,75,100
N348114421248,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.15,80.5,97,93.60416667,76.69565217,95.07,74.76,80,92.5,81.72661873,NA,50,40,50,83.33,60,60,100,50,80,100,75,60,60,83.33,83.33,83.33,100,80,100,100,100,90,81.25,100,80,90,100,92,80,100,81.25,83.33333333,90,100,83.33333333,91.66666667,100,90,90,100
N349114418248,M,North America,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",89.48,100,100,95.41666667,93.80434783,79.59,81.12,76.66666667,86.54285714,80,NA,100,60,25,83.33,60,60,100,67,20,75,50,0,20,83.33,50,100,83.33,80,40,80,100,80,62.5,87.5,85,100,100,100,90,100,68.75,100,75,90,87.5,87.5,100,100,70,100
N351114405248,F,South Asia,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",75.36,78.5,80.5,95.70833333,74.43333333,64.93,74.75,83.33333333,72.85714286,60.5,NA,100,80,50,100,60,60,100,67,40,100,75,60,40,83.33,66.67,100,83.33,80,20,100,100,100,87.5,100,80,100,100,88,80,100,81.25,100,80,80,91.66666667,87.5,100,100,90,100
N352114401248,F,Europe,ay1516,ARTS AND HUMANITIES,87.46,92.5,86.5,95.14583333,88.69565217,87.66,79.1,90,78.24285714,88.15262487,NA,100,40,75,66.67,40,40,80,50,40,75,75,60,40,83.33,83.33,66.67,66.67,60,40,100,100,90,68.75,100,85,100,90,92,80,100,81.25,100,75,75,91.66666667,100,100,85,75,100
N353114402248,M,North America,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",88.18,92.5,86.5,94.14583333,92.91666667,85.38,80.91,100,75.47142857,89.66442953,NA,83.33,80,100,50,40,60,80,17,60,75,75,60,60,33.33,66.67,83.33,66.67,80,80,80,100,85,87.5,100,75,85,90,100,85,100,81.25,100,100,100,91.66666667,91.66666667,100,100,100,100
N354114425248,F,Other,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.37,86,91.5,96,72.91666667,69.24,76.15,93.33333333,81,70.33557047,NA,100,80,75,100,100,40,80,67,60,100,75,60,60,100,83.33,100,50,100,40,100,100,100,81.25,100,100,100,80,92,90,100,87.5,100,100,100,100,91.66666667,100,100,100,100
N355114424248,M,East Asia,ay1516,ECONOMICS,85.11,100,93.5,91.12916667,78.80434783,82.58,79.08,83.33333333,70.04285714,78.33333333,NA,100,80,50,100,80,100,100,50,80,100,75,40,100,83.33,83.33,100,100,60,80,80,100,100,87.5,100,80,100,100,100,100,100,87.5,100,80,90,100,83.33333333,100,100,100,100
N357114421248,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.98,98,89,94.6,84.79166667,84.87,77.22,76.66666667,79.52857143,80,NA,66.67,40,50,50,40,80,60,0,40,75,75,40,60,66.67,66.67,50,50,80,0,60,100,85,75,100,80,90,100,92,80,100,81.25,83.33333333,90,100,83.33333333,91.66666667,100,90,90,100
N358114418248,F,Singapore,ay1516,HISTORY,81.44,92,81,87.8375,78.57142857,76.73,75.19,76.66666667,78.25714286,80,NA,83.33,0,75,83.33,60,60,80,83,20,100,50,60,80,83.33,66.67,83.33,66.67,100,80,60,100,90,100,100,90,100,100,92,60,100,81.25,100,90,100,91.66666667,91.66666667,100,100,100,100
N359114414248,F,Europe,ay1516,PSYCHOLOGY,84.88,92.5,79.5,93.85,82.91666667,85.38,81.28,90,74.85714286,85.03496507,NA,100,100,75,100,20,80,80,67,0,100,75,60,60,50,83.33,83.33,0,80,80,60,100,100,100,100,85,100,90,83,70,100,81.25,100,80,85,91.66666667,91.66666667,100,85,90,90
N360114405248,F,North America,ay1516,ECONOMICS,89.84,92.5,99,95.70833333,99.43333333,83.97,84.9,83.33333333,72.85714286,88.3916084,NA,83.33,EX,75,66.67,0,80,0,33,20,50,75,0,40,50,83.33,100,33.33,60,20,80,100,80,62.5,87.5,85,100,100,100,90,100,68.75,100,75,90,87.5,87.5,100,100,70,100
N361114401248,F,Other,ay1516,ECONOMICS,81.63,96.5,84,87.85833333,74.43333333,66.29,73.65,86.66666667,84.64285714,76.9032258,NA,100,40,75,100,60,EX,80,83,40,50,50,60,60,16.67,66.67,83.33,EX,EX,60,60,100,100,81.25,100,100,100,80,92,90,100,87.5,100,100,100,100,91.66666667,100,100,100,100
N338114405261,F,Singapore,ay1516,PSYCHOLOGY,83.98,85,95.5,95.14583333,78.69565217,84.84,72.35,90,78.24285714,76.5487582,NA,100,40,25,100,80,100,100,83,80,100,100,80,100,100,83.33,100,66.67,100,80,100,100,80,87.5,100,85,100,100,100,85,100,100,100,100,100,100,91.66666667,100,100,85,100
N339114401261,F,Singapore,ay1516,URBAN STUDIES,86.45,92.5,97,95.70833333,73.23333333,82.61,79.02,83.33333333,72.85714286,90.06993007,NA,83.33,40,100,83.33,40,80,100,50,60,0,50,40,80,83.33,50,66.67,66.67,80,60,40,100,70,87.5,100,80,90,100,100,85,100,100,100,90,100,100,100,100,100,90,100
N340114421261,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",89.7,100,100,95.41666667,88.80434783,87.56,80.35,76.66666667,86.54285714,80,NA,100,40,50,66.67,40,60,100,67,40,75,50,60,40,100,83.33,0,100,40,40,100,100,80,62.5,87.5,85,100,100,100,90,100,68.75,100,75,90,87.5,87.5,100,100,70,100
N397114413265,M,Singapore,ay1516,GLOBAL AFFAIRS,81.75,75.5,86.5,89.1875,88.69565217,82.44,72.46,83.33333333,78.1,81.32525253,NA,83.33,60,75,83.33,40,40,80,50,20,100,50,60,80,33.33,50,100,100,100,40,60,100,90,81.25,91.67,80,90,90,83,65,100,81.25,100,65,90,100,91.66666667,100,100,70,100
N398114412265,M,Singapore,ay1516,URBAN STUDIES,88.59,100,92.5,93.45416667,86.69565217,91.91,80.91,73.33333333,82.88571429,83.07692307,NA,100,60,0,100,60,100,80,67,40,75,75,40,40,EX,83.33,100,83.33,80,20,0,100,85,81.25,100,80,100,100,92,85,100,100,100,100,85,100,91.66666667,100,100,60,100
N329114423266,F,Singapore,ay1516,LITERATURE,90.03,100,91,96.83333333,89.79166667,83.81,80.62,86.66666667,77.25714286,94.79452053,NA,100,60,75,EX,60,60,100,83,80,75,75,0,80,66.67,83.33,83.33,100,80,EX,100,100,80,62.5,87.5,85,100,100,100,90,100,68.75,100,75,90,87.5,87.5,100,100,70,100
N377114424280,F,Singapore,ay1516,GLOBAL AFFAIRS,74.31,42,82,90.57916667,78.57142857,84.78,68.84,80,74.28571429,80,NA,66.67,60,50,100,20,EX,EX,67,0,50,75,80,20,100,83.33,66.67,83.33,100,60,100,100,65,81.25,100,85,100,90,75,90,100,81.25,100,100,100,91.66666667,91.66666667,100,100,90,100
N356110408273,M,Singapore,ay1617,PHYSICAL SCIENCES,84.34063838,86,88,89.6875,83.71888951,76.74210583,80.53604726,76.66666667,84.88850784,85.66666667,NA,83.33333333,80,60,83.33333333,80,40,60,66.66666667,80,75,83.33333333,60,80,100,100,71.42857143,66.66666667,80,60,100,100,90,75,87.5,85,90,85,66.66666667,85,81.25,91.66666667,100,100,100,100,100,91.66666667,85,80,100
N338113408261,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.48380718,69,90,89.7916667,73.36670379,77.82641332,75.83191292,90,59.12137511,70.26666667,NA,0,40,40,33.33333333,60,60,60,66.66666667,80,50,50,80,80,50,80,100,83.33333333,60,40,100,100,75,85,100,80,100,65,70.83333333,80,87.5,87.5,90,90,100,85,100,100,100,100,100
N351113418261,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.44270296,92.5,97,93.2053571,80.42776076,76.74210583,85.34048591,86.66666667,70.82798667,86.86666667,NA,100,80,60,66.66666667,100,80,100,83.33333333,80,75,100,100,80,100,100,85.71428571,66.66666667,100,80,100,100,90,90,100,100,80,100,87.5,90,81.25,100,100,100,100,90,92.85714286,87.5,90,85,100
N363114412242,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",79.88000282,82.5,88.5,98.1666667,60.25171058,74.59296593,73.81046304,86.66666667,85.54488863,71.06666667,NA,66.66666667,40,40,83.33333333,80,60,60,50,NA,75,33.33333333,40,60,66.66666667,80,0,83.33333333,40,60,80,100,100,100,100,100,90,100,91.66666667,90,100,91.66666667,100,100,100,100,100,100,100,100,100
N337115408224,M,South Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.56328025,93,94.5,97.625,90.30114702,71.01106608,87.25497857,86.66666667,87.55727746,84.86666667,NA,100,100,80,83.33333333,100,60,80,83.33333333,100,100,100,100,100,83.33333333,100,85.71428571,100,100,80,100,100,100,85,100,100,90,100,100,100,87.5,100,90,100,100,100,100,100,100,100,100
N338115405224,F,Singapore,ay1617,GLOBAL AFFAIRS,77.88751253,75.5,69,90.4791667,52.36718104,77.82641332,77.60259548,90,80.1497688,92.46666667,NA,83.33333333,80,60,83.33333333,40,80,60,50,20,75,50,60,80,83.33333333,80,85.71428571,66.66666667,100,40,100,100,100,80,100,100,100,90,66.66666667,60,81.25,91.66666667,90,90,100,90,100,100,100,70,100
N339115401224,F,Other,ay1617,PSYCHOLOGY,80.83984747,86,78.5,95.0416667,75.99189158,78.89124574,76.90343596,83.33333333,73.15356806,80,NA,83.33333333,80,40,100,40,80,80,66.66666667,60,50,66.66666667,20,20,50,80,100,66.66666667,80,60,80,100,100,80,100,90,100,85,83.33333333,90,100,100,100,100,87.5,100,100,100,85,100,100
N340115421224,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",78.47027464,82.5,73,98.5833333,67.00134805,80.15568995,78.45278107,70,76.15959397,77.4,NA,100,100,40,0,20,60,100,50,40,75,66.66666667,60,60,83.33333333,0,85.71428571,100,100,60,100,100,100,100,100,80,100,100,91.66666667,100,100,100,100,100,100,100,100,100,100,100,100
N341115418224,F,Singapore,ay1617,PSYCHOLOGY,76.02095394,87.5,72.5,95.9166667,68.83726385,78.17486577,72.88751474,86.66666667,72.85989506,58.8,NA,83.33333333,40,40,50,40,60,60,33.33333333,60,75,66.66666667,40,20,83.33333333,60,71.42857143,50,40,80,100,100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
N342115414224,F,North America,ay1617,ANTHROPOLOGY,78.68105304,80.5,67.5,96.0833333,83.86646516,78.64172485,72.38441959,86.66666667,70.50125417,80,NA,66.66666667,60,80,33.33333333,60,80,80,33.33333333,0,100,33.33333333,80,40,33.33333333,80,71.42857143,33.33333333,40,40,40,100,100,85,100,80,100,85,100,100,100,100,90,90,100,100,100,91.66666667,100,100,100
N343115413224,F,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",65.92017383,55.5,43.5,92.6011905,60.5423262,70.46453342,66.44158662,80,65.45210156,76.8,NA,33.33333333,40,0,66.66666667,20,0,40,50,0,75,66.66666667,80,0,33.33333333,40,71.42857143,66.66666667,40,40,40,100,100,90,100,90,90,75,79.16666667,90,100,100,80,90,100,100,92.85714286,100,100,75,100
N344115412224,M,South Asia,ay1617,PSYCHOLOGY,81.6591999,86,87.5,95.9166667,84.57744484,76.02572586,76.82893323,86.66666667,72.85989506,71.2,NA,100,80,60,50,0,40,80,83.33333333,60,100,50,80,60,66.66666667,60,85.71428571,NA,40,0,80,100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
N345115410224,F,East Asia,ay1617,GLOBAL AFFAIRS,59.99127997,62,40.5,86.8541667,67.00134805,65.92598569,67.82368164,83.33333333,53.29095101,42.4,NA,83.33333333,20,40,16.66666667,40,60,80,16.66666667,20,50,50,20,20,66.66666667,0,71.42857143,50,20,60,NA,87.5,75,90,100,75,100,100,79.16666667,70,68.75,91.66666667,60,85,100,85,100,100,70,100,100
N346115408224,F,Singapore,ay1617,URBAN STUDIES,72.42940789,73.5,79.5,95.9166667,57.38985949,75.3093459,69.08497842,86.66666667,72.85989506,53.93333333,NA,83.33333333,0,80,50,20,60,60,50,20,25,33.33333333,80,20,16.66666667,60,57.14285714,66.66666667,60,20,60,100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
N347115405224,M,South Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.12747663,83,77.5,94.0595238,62.86694241,80.27234792,76.75869538,90,76.06725679,57,NA,100,100,80,33.33333333,40,0,80,66.66666667,80,75,66.66666667,40,60,33.33333333,80,28.57142857,83.33333333,20,80,100,100,80,90,100,75,100,100,91.66666667,80,100,100,90,100,91.66666667,90,92.85714286,100,100,100,100
N348115401224,M,Southeast Asia,ay1617,ENVIRONMENTAL STUDIES,80.1543892,75.5,80,95.9166667,81.71559376,73.16020599,71.20819718,86.66666667,72.85989506,86.73333333,NA,83.33333333,60,60,66.66666667,20,60,60,0,20,50,33.33333333,40,40,33.33333333,0,85.71428571,50,80,60,100,100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
N349115402224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",76.73711374,69.5,70,88.375,81.15280919,77.44527009,76.90858159,75,56.8394765,93.26666667,NA,66.66666667,80,60,83.33333333,40,20,60,66.66666667,20,75,83.33333333,80,60,50,80,100,66.66666667,100,40,80,79.16666667,75,75,100,85,100,90,91.66666667,45,100,100,90,65,100,90,100,91.66666667,100,90,100
N350115418224,F,North America,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",82.91867898,80.5,77,95.9166667,84.57744484,78.17486577,79.87458416,86.66666667,72.85989506,92.13333333,NA,66.66666667,60,40,83.33333333,80,100,40,50,60,75,50,60,80,83.33333333,60,100,83.33333333,100,100,100,100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
N352115413224,F,East Asia,ay1617,PSYCHOLOGY,79.91585298,88,85,95.6458333,62.86694241,77.01110179,77.08028338,86.66666667,85.22103557,65.66666667,NA,83.33333333,80,60,83.33333333,20,80,80,50,40,75,100,60,40,83.33333333,40,71.42857143,0,80,80,80,100,100,100,100,85,100,90,91.66666667,80,81.25,100,100,100,100,100,100,100,100,85,100
N353115412224,M,East Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.86040047,100,77,95.0416667,74.56096603,78.17486577,80.50627152,83.33333333,73.15356806,80,NA,100,80,60,66.66666667,60,100,100,33.33333333,0,100,66.66666667,80,80,50,60,100,66.66666667,80,80,100,100,100,80,100,90,100,85,83.33333333,90,100,100,100,100,87.5,100,100,100,85,100,100
N354115410224,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,78.11759837,82.5,70,95.0416667,71.69911494,73.87658596,76.98838138,83.33333333,73.15356806,80,NA,83.33333333,60,100,100,100,60,80,66.66666667,40,50,66.66666667,40,80,50,80,71.42857143,50,60,20,60,100,100,80,100,90,100,85,83.33333333,90,100,100,100,100,87.5,100,100,100,85,100,100
N355115408224,F,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.58200982,90.5,90.5,97.25,79.38998192,84.20837155,83.71124158,91.66666667,71.0271698,88.6,NA,83.33333333,60,80,100,100,80,80,100,80,100,50,60,NA,100,80,100,83.33333333,80,0,100,100,100,85,100,90,100,100,100,90,100,100,90,100,100,100,100,100,100,90,100
